"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.236370100E-2,6.629411131E-2,9.509906173E-3,1.102666855E-1
4.829387600E-2,3.289259225E-2,-3.153705224E-2,3.599643707E-2
6.419353500E-2,8.931885473E-3,-1.562622935E-2,7.666110992E-2
8.015422800E-2,7.180461287E-2,-9.211270139E-3,8.862781525E-2
9.614543900E-2,8.501637727E-3,-4.562021792E-2,1.125583649E-1
1.121671670E-1,-1.692044362E-2,-3.929188102E-2,5.986118317E-2
1.280973430E-1,-2.928364836E-2,2.105835080E-2,9.579658508E-3
1.441190720E-1,4.870438948E-3,4.090306163E-2,6.945037842E-2
1.600797650E-1,3.680269048E-2,7.662814856E-2,3.836441040E-2
1.761014940E-1,4.529841244E-2,4.647525400E-2,4.084587097E-2
1.920621870E-1,-1.138411462E-2,1.214030385E-2,7.206535339E-2
2.080533980E-1,-5.485168099E-2,1.584393531E-2,7.381439209E-3
2.240446090E-1,2.844450250E-2,1.800019294E-2,1.271753311E-1
2.400053020E-1,-5.963299051E-2,4.649005830E-2,2.192783356E-2
2.560270310E-1,8.196592331E-3,4.165674746E-2,4.837512970E-2
2.720182420E-1,-5.103174597E-2,5.794464052E-2,7.486152649E-2
2.880094530E-1,2.322040685E-2,3.479333967E-2,1.753425598E-2
3.040006640E-1,-8.828026243E-3,2.157524228E-2,7.274246216E-2
3.199918740E-1,3.027553670E-3,6.940782070E-3,-4.922103882E-2
3.359525680E-1,6.655040383E-2,4.475165904E-2,2.071208954E-1
3.518827440E-1,5.906955153E-2,5.122864246E-2,6.124687195E-2
3.678739550E-1,-1.707712561E-2,1.441191137E-2,1.045579910E-1
3.838041300E-1,-3.517780453E-2,7.623016834E-3,1.867103577E-2
3.997648240E-1,9.778663516E-4,1.600706577E-2,3.340625763E-2
4.157560350E-1,5.032051355E-2,3.451818228E-2,6.970977783E-2
4.317167280E-1,5.060986802E-2,-4.262401164E-2,-1.133346558E-2
4.477079390E-1,-7.066130638E-2,4.669627547E-2,8.478450775E-2
4.636686320E-1,3.030247986E-2,2.272123098E-2,-3.220748901E-2
4.796598430E-1,2.643543109E-2,2.393627167E-2,1.285076141E-1
4.956205370E-1,-7.048696280E-4,3.517225385E-2,5.937385559E-2
5.115507120E-1,-1.476067584E-2,2.340874076E-2,5.486583710E-2
5.275419230E-1,-5.295882467E-3,5.065310001E-2,6.710338593E-2
5.435026170E-1,2.619733661E-2,2.638965845E-3,3.149986267E-2
5.594938280E-1,5.725732446E-2,1.522600651E-4,8.936214447E-2
5.754545210E-1,-3.882657737E-3,2.421820164E-2,-7.773685455E-2
5.913846970E-1,6.145891547E-2,3.179243207E-2,9.754276276E-2
6.074064250E-1,5.171069875E-2,1.653021574E-2,2.859020233E-2
6.233366010E-1,-1.766870916E-2,1.844793558E-3,2.730369568E-3
6.392972940E-1,-9.152525663E-2,2.444392443E-2,1.274108887E-2
6.552274700E-1,4.541907832E-2,3.281903267E-2,6.096363068E-2
6.711881640E-1,3.876059130E-2,2.684244514E-2,8.754920959E-2
6.870878220E-1,8.631565422E-2,5.844831467E-3,3.027343750E-2
7.030179980E-1,-3.891848028E-3,-9.931981564E-3,7.593631744E-2
7.190092080E-1,6.921209395E-2,1.065334678E-2,-2.808570862E-3
7.349088670E-1,-5.738023296E-2,-1.623439789E-2,-2.463340759E-3
7.508085250E-1,3.964896873E-2,3.193655610E-2,9.924888611E-3
7.667997360E-1,1.741446555E-3,1.247993112E-2,1.037502289E-2
7.827299120E-1,6.861938536E-2,1.468360424E-2,7.785701752E-2
7.987211230E-1,2.799674124E-2,-1.128393412E-2,6.871700287E-2
8.146512980E-1,-9.274669737E-2,2.303725481E-2,1.886749268E-2
8.306119920E-1,-1.316260919E-2,1.373249292E-2,3.117942810E-2
8.466337200E-1,5.692455173E-2,3.352871537E-2,8.178520203E-2
8.625333780E-1,7.788152248E-2,2.448940277E-2,1.749324799E-2
8.784940720E-1,3.745727241E-3,-1.106345654E-2,-1.290321350E-3
8.944547650E-1,1.655662805E-2,-1.089185476E-2,4.218387604E-2
9.104154580E-1,4.681537673E-2,6.028771400E-3,3.059005737E-2
9.264066690E-1,2.412616834E-2,1.968377829E-2,5.256462097E-2
9.423063280E-1,3.133988380E-2,-3.726541996E-2,3.630924225E-2
9.582975390E-1,-4.899095371E-2,1.469355822E-2,-2.536678314E-2
9.742582320E-1,-7.697608322E-3,-2.951264381E-3,4.943275452E-2
9.901884080E-1,7.901104540E-2,1.069313288E-2,3.085899353E-2
1.006210136E0,2.087865584E-2,3.201127052E-3,6.016349792E-2
1.022109794E0,3.177526221E-2,-2.860677242E-2,3.318786621E-3
1.038070488E0,-2.441279963E-2,-3.649687767E-2,5.900192261E-2
1.054031181E0,1.091266274E-1,4.947400093E-2,1.149902344E-1
1.069961357E0,5.906958133E-3,-9.981453419E-3,1.712894440E-2
1.085952568E0,-7.221079618E-2,-9.204089642E-3,-3.508663177E-2
1.101913261E0,1.701831818E-2,3.581523895E-3,3.940868378E-2
1.117904472E0,3.574335203E-2,-1.628696918E-3,3.002643585E-2
1.133865165E0,-3.055667132E-2,-4.687052965E-2,8.622169495E-3
1.149825859E0,3.755353019E-2,-1.993638277E-2,2.788257599E-2
1.165817070E0,5.283953249E-2,5.247950554E-3,9.258842468E-2
1.181777763E0,2.256719023E-2,1.076579094E-2,6.189155579E-2
1.197768974E0,-1.599432528E-2,-1.925963163E-2,9.107398987E-2
1.213760185E0,7.617971301E-2,-3.529942036E-2,1.753425598E-2
1.229720878E0,2.783688903E-2,-2.699965239E-2,-6.063175201E-2
1.245742607E0,-4.798284173E-2,-2.280873060E-2,1.437187195E-2
1.261703300E0,-7.160762697E-2,-3.201550245E-2,-2.585315704E-2
1.277694511E0,5.582977086E-2,1.470369101E-2,1.227912903E-1
1.293655205E0,2.105149627E-2,-3.193616867E-3,5.838298798E-2
1.309615898E0,-3.248119354E-2,-2.246582508E-2,-2.746963501E-2
1.325607109E0,-1.259721071E-2,-4.167062044E-2,1.353549957E-2
1.341598320E0,5.679884925E-2,2.837359905E-2,6.646156311E-2
1.357589531E0,4.722046480E-2,-2.048003674E-2,9.220123291E-3
1.373550224E0,-1.905035973E-2,-2.347981930E-2,2.376651764E-2
1.389510917E0,-3.804787993E-4,4.974305630E-3,4.546356201E-2
1.405532646E0,8.654300123E-2,-4.301309586E-3,6.952667236E-2
1.421462822E0,2.892464399E-2,-1.980841160E-3,3.616809845E-2
1.437423515E0,-8.476784825E-2,-5.612587929E-2,-1.383399963E-2
1.453384208E0,2.523073554E-2,-1.916432381E-2,4.867362976E-2
1.469344902E0,1.051130220E-1,3.765171766E-2,4.408359528E-2
1.485366630E0,2.811990678E-3,-3.908938169E-2,1.313495636E-2
1.501266289E0,-2.307792753E-2,-3.417503834E-2,6.109237671E-3
1.517226982E0,-1.718820259E-2,-2.392488718E-2,4.212856293E-2
1.533187675E0,6.849803030E-4,-1.840192080E-2,8.712768555E-3
1.549087333E0,3.280823678E-2,1.276367903E-2,1.605129242E-2
1.565109062E0,7.221077383E-2,1.732099056E-2,1.024236679E-1
1.581069755E0,5.000587553E-2,-3.804928064E-2,7.390785217E-2
1.597060966E0,-2.328801528E-2,-5.033993721E-2,-7.259368896E-3
1.612991142E0,-2.749608085E-2,-2.884167433E-2,1.209926605E-2
1.628890800E0,-3.348799795E-2,-3.599566221E-2,1.947116852E-2
1.644912529E0,6.866745651E-2,-1.986730099E-2,-6.637573242E-3
1.660812187E0,2.306304872E-3,-6.044995785E-2,3.900432587E-2
1.676742363E0,4.598889500E-2,9.997963905E-3,9.415626526E-2
1.692703056E0,1.604979485E-2,1.480340958E-2,5.844593048E-2
1.708602714E0,-5.685923621E-2,-2.801144123E-2,8.368492126E-3
1.724593925E0,5.332868919E-2,-3.138357401E-2,1.326370239E-2
1.740554619E0,7.065831125E-2,-6.303149462E-2,-1.540470123E-2
1.756545830E0,-7.953472435E-3,-4.223358631E-2,3.493499756E-2
1.772506523E0,-3.054733574E-2,-5.405735970E-2,8.580207825E-3
1.788436699E0,1.822248101E-2,-2.486014366E-2,1.092720032E-2
1.804427910E0,8.530373871E-2,-2.980381250E-2,6.838512421E-2
1.820358085E0,1.107063144E-2,-4.648137093E-2,8.522987366E-3
1.836349296E0,2.800891921E-2,-4.088526964E-2,6.111907959E-2
1.852248955E0,-2.370619774E-2,1.608115435E-2,5.617332458E-2
1.868148613E0,3.901428729E-2,-1.884996891E-2,5.832290649E-2
1.884139824E0,-5.964435637E-3,-8.350664377E-2,-3.777980804E-2
1.900069999E0,4.180706292E-2,-3.208738565E-2,-9.488105774E-3
1.916030693E0,3.349969164E-2,-4.941284657E-2,3.309535980E-2
1.931930351E0,3.468167782E-2,-3.348952532E-2,8.047580719E-2
1.947830009E0,3.050195798E-2,-6.867927313E-2,8.723354340E-2
1.963851738E0,6.523909420E-2,-1.082044840E-2,2.221298218E-2
1.979781914E0,-7.811766863E-2,-5.500978231E-2,3.134250641E-2
1.995742607E0,5.851025134E-2,-2.094817162E-2,8.345127106E-2
2.011703300E0,2.628711611E-2,-1.520758867E-2,3.262996674E-2
2.027633476E0,-2.270694375E-1,-5.012983084E-2,1.972846985E-1
2.043655205E0,9.551230073E-2,-8.182311058E-2,2.814292908E-3
