"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.029870357E0,5.027823448E-1,-3.830722719E-2,9.856928825E0
1.039880123E0,5.291185975E-1,-9.576806799E-3,9.842563629E0
1.051843013E0,4.955997467E-1,0.000000000E0,9.785101891E0
1.061852779E0,4.764461517E-1,9.576806799E-3,9.667786598E0
1.073846187E0,4.836287498E-1,3.830722719E-2,9.660603523E0
1.085809078E0,4.932055473E-1,6.224924326E-2,9.689333916E0
1.097771969E0,5.961562395E-1,4.070143029E-2,9.914389610E0
1.109673824E0,5.913678408E-1,1.436521020E-2,9.923966408E0
1.119683590E0,5.506663918E-1,4.788403399E-3,9.904812813E0
1.129693355E0,4.596867263E-1,-1.915361360E-2,9.854534149E0
1.141656246E0,4.812345505E-1,-2.873042040E-2,9.923966408E0
1.153619136E0,5.506663918E-1,-9.576806799E-3,9.976638794E0
1.165582027E0,5.626373887E-1,3.591302410E-2,9.931148529E0
1.177575435E0,4.788403511E-1,-9.576806799E-3,9.828198433E0
1.189568844E0,5.075707436E-1,1.436521020E-2,9.821015358E0
1.201562252E0,5.123591423E-1,7.182605099E-3,9.837775230E0
1.213525142E0,5.195417404E-1,-2.394201607E-2,9.792284966E0
1.223534908E0,5.099649429E-1,-7.182605099E-3,9.742006302E0
1.235528316E0,5.315127969E-1,7.182605099E-3,9.804255486E0
1.247491207E0,5.530605912E-1,3.112462163E-2,9.832986832E0
1.259484615E0,5.578489900E-1,1.436521020E-2,9.832986832E0
1.271478023E0,5.578489900E-1,2.633621916E-2,9.935936928E0
1.283410396E0,5.410895944E-1,-1.436521020E-2,9.900024414E0
1.295373287E0,5.410895944E-1,9.576806799E-3,9.866505623E0
1.307336177E0,5.410895944E-1,-1.197100803E-2,9.849745750E0
1.319299068E0,5.291185975E-1,4.788403399E-3,9.813833237E0
1.331292476E0,5.386953950E-1,0.000000000E0,9.768342972E0
1.343255367E0,4.932055473E-1,-7.182605099E-3,9.792284966E0
1.355248775E0,5.339069963E-1,-4.788403399E-3,9.792284966E0
1.365258541E0,5.578489900E-1,1.436521020E-2,9.804255486E0
1.377221431E0,5.243301988E-1,-7.182605099E-3,9.868899345E0
1.387231197E0,5.434837937E-1,-1.197100803E-2,9.935936928E0
1.397240963E0,5.075707436E-1,-3.591302410E-2,9.880870819E0
1.409203853E0,4.979939461E-1,-3.591302410E-2,9.895236015E0
1.419213619E0,4.860229492E-1,-4.788403399E-3,9.888052940E0
1.431176510E0,5.075707436E-1,3.591302410E-2,9.828198433E0
1.441186275E0,4.836287498E-1,1.915361360E-2,9.789890289E0
1.453179683E0,4.620809257E-1,-2.394201700E-3,9.797073364E0
1.465081539E0,4.812345505E-1,-2.154781483E-2,9.792284966E0
1.477044429E0,4.572925270E-1,-4.788403399E-3,9.775525093E0
1.487054195E0,4.788403511E-1,2.633621916E-2,9.871294022E0
1.497063961E0,5.219359994E-1,9.576806799E-3,9.962273598E0
1.508996334E0,5.099649429E-1,-3.351882473E-2,9.931148529E0
1.519006099E0,5.147533417E-1,-3.112462163E-2,9.952696800E0
1.530999508E0,5.027823448E-1,2.394201700E-3,9.938331604E0
1.542962398E0,5.195417404E-1,3.112462163E-2,9.890447617E0
1.552972164E0,4.620809257E-1,1.675941236E-2,9.809044838E0
1.564904537E0,4.477157295E-1,1.915361360E-2,9.804255486E0
1.576836910E0,5.075707436E-1,2.394201700E-3,9.777919769E0
1.588830318E0,5.386953950E-1,-1.197100803E-2,9.758766174E0
1.600793209E0,5.075707436E-1,4.788403399E-3,9.756371498E0
1.612725582E0,4.788403511E-1,-9.576806799E-3,9.768342972E0
1.622735347E0,5.195417404E-1,-2.154781483E-2,9.871294022E0
1.634698238E0,5.554547906E-1,-3.112462163E-2,9.890447617E0
1.644708004E0,5.458779931E-1,-4.309562966E-2,9.856928825E0
1.656670894E0,5.003881454E-1,-4.788403213E-2,9.832986832E0
1.668572750E0,5.219359994E-1,-3.830722719E-2,9.945513725E0
