"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.253669900E-2,-9.211957455E-2,-3.089563549E-2,1.790332794E-2
4.849739300E-2,-9.390212595E-2,-4.557129741E-2,1.265430450E-2
6.442756800E-2,-6.705626845E-2,-7.606418431E-2,1.584644318E-1
8.038826200E-2,1.352838874E-1,-2.115115523E-2,1.472110748E-1
9.637947300E-2,2.262458205E-1,3.405925632E-2,1.700019836E-2
1.124012010E-1,2.293701768E-1,3.119598329E-2,-1.265535355E-1
1.283313770E-1,7.698073983E-2,-2.866075933E-2,-1.515970230E-1
1.443531050E-1,-1.211881936E-1,-2.952824533E-2,9.911727905E-2
1.603137990E-1,-1.892545521E-1,-3.912183642E-2,2.744445801E-1
1.762744920E-1,-5.695164204E-2,-3.755697608E-2,1.288604736E-2
1.922962210E-1,4.069709778E-2,4.722903669E-2,-3.516960144E-2
2.081958790E-1,6.535840034E-2,1.827730238E-2,-2.335062027E-1
2.242176070E-1,7.884761691E-2,-4.058152437E-3,6.635475159E-2
2.401783010E-1,6.006866693E-3,3.955295682E-2,1.866378784E-1
2.561389940E-1,7.458719611E-2,4.291778803E-2,1.664924622E-2
2.721607230E-1,6.146383286E-2,-3.288224339E-2,5.317401886E-2
2.880603810E-1,-8.326920867E-2,-4.153347015E-2,7.976055145E-2
3.039600390E-1,-8.730515838E-2,-2.956309915E-2,2.509908676E-1
3.199817680E-1,-2.500590682E-2,-9.120330215E-3,8.120536804E-2
3.359424610E-1,1.469874382E-2,4.139085114E-2,2.071380615E-3
3.518421190E-1,-5.743923783E-2,4.507437348E-2,-1.731224060E-1
3.678638480E-1,1.966500580E-1,7.291620970E-2,-1.327075958E-1
3.837635060E-1,8.884286880E-2,-2.568879724E-2,-1.540927887E-1
3.997241990E-1,-8.129867911E-2,-6.035161018E-2,1.192264557E-1
4.156848930E-1,-5.149051547E-2,-4.717902839E-2,3.636875153E-1
4.316761040E-1,7.515704632E-2,9.064406157E-3,1.315212250E-1
4.476673140E-1,1.217413843E-1,6.289134920E-2,1.028118134E-1
4.636280080E-1,5.456614494E-2,4.947815835E-2,-4.329872131E-2
4.795887010E-1,5.672374368E-2,-1.733407378E-3,-6.498241425E-2
4.955493950E-1,5.560842156E-2,3.719866276E-3,-2.517623901E-1
5.115406050E-1,-5.682876706E-2,-5.442023277E-3,-2.581596375E-3
5.275318160E-1,-6.540942192E-2,-1.859740913E-2,2.179822922E-1
5.434619920E-1,9.906372428E-2,-1.055061817E-3,8.891105652E-2
5.594226860E-1,1.089219153E-1,4.003420472E-3,1.775722504E-1
5.753833790E-1,1.343820989E-1,-3.491987288E-2,-6.812095642E-3
5.913135550E-1,6.193518639E-2,1.266166568E-3,2.189826965E-2
6.073047660E-1,-7.105979323E-2,3.487733006E-2,-2.041816711E-3
6.232959770E-1,-2.972900867E-2,9.598061442E-3,-4.035663605E-2
6.392871870E-1,-2.257090807E-2,2.228465676E-2,-4.273700714E-2
6.552783980E-1,4.355967045E-2,3.754037619E-2,-8.113479614E-2
6.712696090E-1,-1.959180832E-2,-5.039739609E-2,1.126089096E-1
6.872608200E-1,2.163442969E-2,-6.692935526E-2,2.249813080E-1
7.032215140E-1,-1.541498303E-2,-5.992174149E-2,2.107009888E-1
7.191516890E-1,9.833794832E-2,-1.641608775E-2,-1.099271774E-1
7.351123830E-1,1.005067527E-1,1.819090545E-2,-1.289978027E-1
7.510425590E-1,4.323613644E-2,1.645129919E-2,-3.206195831E-1
7.670337700E-1,5.376774073E-2,-7.113918662E-3,-1.337089539E-1
7.829639450E-1,-3.567963839E-3,2.486650646E-2,2.279701233E-1
7.989856740E-1,1.757249236E-2,-6.353275478E-2,2.110347748E-1
8.149158500E-1,1.126479805E-1,-9.415486455E-2,1.695537567E-2
8.308155080E-1,2.155022323E-1,-6.142495573E-2,-1.217689514E-1
8.468372360E-1,1.730528176E-1,1.127991080E-2,-5.908870697E-2
8.627368950E-1,-9.313195944E-3,4.281015694E-2,8.211135864E-3
8.787586230E-1,-2.020133138E-1,4.924005270E-2,5.851364136E-2
8.947193160E-1,-2.228558064E-1,2.926039696E-2,8.475399017E-2
9.105884570E-1,-9.542706609E-2,-1.543587446E-2,4.150772095E-2
9.266101860E-1,8.718082309E-2,-5.359904468E-2,4.148483276E-2
9.425708790E-1,2.026751935E-1,-8.389204741E-3,2.043066025E-1
9.585315720E-1,2.263799012E-1,3.664225340E-3,2.376880646E-1
9.744922660E-1,1.146480441E-1,-3.927358985E-2,9.167098999E-2
9.904224410E-1,2.856099606E-2,9.975016117E-3,-1.427011490E-1
1.006413652E0,-2.345272899E-2,-1.510658860E-2,-1.616773605E-1
1.022374346E0,-3.102183342E-2,-7.735194266E-2,-7.328319550E-2
1.038304521E0,-4.246366024E-2,-3.070518374E-2,-6.630706787E-2
1.054265215E0,5.948367715E-2,6.482526660E-3,-1.740827560E-1
1.070256426E0,1.568355560E-1,4.820376635E-3,-5.178642273E-2
1.086247637E0,1.312958896E-1,-5.343772471E-2,1.496295929E-1
1.102238848E0,1.088331938E-1,-2.418518066E-3,2.024154663E-1
1.118169023E0,-5.830654502E-2,-8.888855577E-3,2.404651642E-1
1.134160234E0,-8.328258991E-2,-4.373206198E-2,4.604721069E-2
1.150151445E0,-4.968491197E-2,-7.863199711E-2,-1.696586609E-1
1.166142656E0,-2.534338832E-2,-4.348058999E-2,-2.820158005E-1
1.182072832E0,7.802537084E-2,2.411037683E-2,-6.630229950E-2
1.198033525E0,4.756590724E-2,-2.781578898E-2,1.132907867E-1
1.213994219E0,-1.898014545E-2,-1.173867285E-2,3.142700195E-1
1.229924395E0,-4.291516542E-2,9.939655662E-3,2.279548645E-1
1.245915605E0,-1.074159145E-2,-8.600175381E-3,2.182846069E-1
1.261845781E0,7.482540607E-2,-1.992918551E-2,-1.146869659E-1
1.277775957E0,1.269095838E-1,-4.122708738E-2,-3.279428482E-1
1.293736650E0,1.195777059E-1,-4.930531979E-2,-2.058315277E-1
1.309697344E0,4.529580474E-2,-4.915948212E-2,9.596157074E-2
1.325719072E0,-3.947028518E-2,-1.434819400E-2,2.322959900E-1
1.341618730E0,-1.027253568E-1,-6.329673529E-2,1.003627777E-1
1.357640459E0,-5.263462663E-2,-4.655365646E-2,-4.100418091E-2
1.373570635E0,7.185578346E-2,-2.351701260E-2,-1.343307495E-1
1.389561846E0,1.660552025E-1,-4.692986608E-2,-2.659025192E-1
1.405492021E0,2.409036160E-1,-7.187083364E-3,-1.770458221E-1
1.421513750E0,3.801995516E-2,-6.449742615E-2,1.512556076E-1
1.437504961E0,-4.643559456E-2,-3.797997534E-2,4.122953415E-1
1.453496172E0,-8.303520083E-2,-5.306993425E-2,3.092803955E-1
1.469456865E0,-3.076463938E-3,-2.383969724E-2,-2.609729767E-2
1.485448076E0,5.748450756E-2,-1.146158576E-2,-2.153367996E-1
1.501378252E0,1.071995795E-1,-4.060718417E-2,-1.410627365E-1
1.517369463E0,3.352358937E-2,-3.790204227E-2,-9.121894836E-3
1.533299639E0,8.779653907E-2,-1.464301348E-2,1.468057632E-1
1.549290850E0,-1.403361559E-3,-5.809952319E-2,1.397466660E-1
1.565190508E0,-6.486678123E-2,-4.195378721E-2,8.693504333E-2
1.581090166E0,-1.208167970E-1,-2.484546602E-2,-5.459690094E-2
1.597111895E0,-3.128832579E-2,-2.840828896E-2,-1.121520996E-1
1.613042070E0,1.111551523E-1,1.543459296E-2,-7.159042358E-2
1.628911211E0,1.543771923E-1,-7.611612976E-2,4.882812500E-3
1.644902422E0,1.411437094E-1,-7.759220898E-2,1.628046036E-1
1.660802080E0,-2.207607031E-3,-8.688785136E-2,1.363248825E-1
1.676762773E0,2.000457048E-2,-2.929252386E-2,-7.207012177E-2
1.692723467E0,2.792769670E-2,-2.689291537E-2,-1.292991638E-1
1.708653643E0,-6.163507700E-3,2.389177680E-3,-4.766464233E-2
1.724675371E0,-7.345312834E-2,-6.269788742E-2,-1.426982880E-2
1.740575029E0,-2.280515432E-2,-7.413794100E-2,1.435184479E-1
1.756596758E0,1.160703301E-1,-4.076755047E-2,1.817245483E-1
1.772526934E0,1.400333047E-1,-5.314856768E-3,3.339767456E-2
1.788487627E0,7.759124041E-3,-1.509845257E-2,-4.057502747E-2
1.804417803E0,-1.076277494E-1,-2.097304165E-2,-9.074878693E-2
1.820317461E0,-1.341518760E-2,-5.656670034E-2,-5.004215240E-2
1.836339189E0,7.347854972E-2,-6.589289010E-2,2.658367157E-2
1.852269365E0,1.954609752E-1,-3.659228981E-2,6.969261169E-2
1.868230059E0,1.335871518E-1,-2.118846774E-2,1.458930969E-2
1.884221270E0,-1.356241107E-2,-5.410614610E-2,-1.867055893E-1
1.900120928E0,-1.755921990E-1,-9.612654150E-2,-4.306983948E-2
1.916142656E0,-8.434438705E-2,-1.037803292E-1,1.774148941E-1
1.932042314E0,6.739351153E-2,-8.243322372E-5,1.440362930E-1
1.947941973E0,1.395639777E-1,-3.534406424E-4,-2.590560913E-2
1.963933184E0,1.743292511E-1,-1.713611186E-2,-7.384300232E-2
1.979832842E0,9.750342369E-2,-9.671846032E-2,2.914428711E-2
1.995763018E0,3.387397528E-2,-8.308032155E-2,1.486301422E-2
2.011723711E0,1.348474622E-2,-2.854306996E-2,6.039810181E-2
2.027623369E0,-1.460006237E-1,-7.620589435E-2,1.254463196E-2
