"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.391607491E0,3.922405839E-2,1.230691075E-1,-1.829338074E-2
1.407629220E0,3.234547377E-2,1.388800144E-1,-9.387016296E-3
1.423589913E0,-4.591584206E-3,1.361811161E-1,-1.694488525E-2
1.439520089E0,4.812061787E-3,1.353960633E-1,-5.301475525E-2
1.455511300E0,1.678115129E-2,1.192281246E-1,-1.733970642E-2
1.471533029E0,-1.079618931E-3,1.356946826E-1,-8.124351501E-3
1.487524239E0,1.810204983E-2,1.158396602E-1,2.749443054E-2
1.503454415E0,1.407843828E-2,9.413433075E-2,-2.312755585E-2
1.519415109E0,5.253314972E-3,1.048654318E-1,-3.790187836E-2
1.535375802E0,-1.085478067E-2,1.045390368E-1,-9.619712830E-3
1.551336495E0,4.802972078E-3,7.417309284E-2,-1.437005997E-1
1.567358224E0,2.622815967E-2,1.008392572E-1,4.923439026E-2
1.583318917E0,3.120601177E-4,9.220284224E-2,8.060455322E-3
1.599310128E0,2.391582727E-2,1.382388473E-1,5.248069763E-3
1.615270822E0,1.225465536E-2,1.094669104E-1,-2.148628235E-2
1.631292550E0,3.029516339E-2,9.316632152E-2,-5.066013336E-2
1.647283761E0,1.344972849E-2,8.048647642E-2,-4.400348663E-2
1.663213937E0,2.314898372E-2,8.958581090E-2,-2.059078217E-2
1.679205148E0,1.544284821E-2,1.167375445E-1,1.248168945E-2
1.695165841E0,2.011927962E-2,1.155994236E-1,3.853321075E-2
1.711187570E0,1.141190529E-2,8.491608500E-2,-6.950283051E-2
1.727178780E0,9.995669127E-3,9.366333485E-2,-5.556869507E-2
1.743169991E0,1.921579242E-2,1.100708246E-1,4.212570190E-2
1.759191720E0,6.849646568E-3,7.794395089E-2,-5.397129059E-2
1.775121896E0,1.152169704E-2,9.191176295E-2,-2.362785339E-1
1.791113107E0,5.371558666E-2,1.101090014E-1,7.203197479E-2
1.807104318E0,3.314647079E-2,9.343883395E-2,-5.753231049E-2
1.823095529E0,2.675059438E-2,7.832023501E-2,-9.605693817E-2
1.839086739E0,4.082420468E-2,1.277505755E-1,8.805656433E-2
1.855016915E0,1.968175173E-2,1.700702906E-1,1.213989258E-1
1.871008126E0,1.186433434E-2,2.173993587E-1,1.428880692E-1
1.886938302E0,2.959740162E-2,1.712993681E-1,1.094198227E-1
1.902898995E0,3.505489230E-2,1.519388258E-1,-1.203918457E-1
1.918859689E0,2.144744992E-2,1.037903130E-1,-1.755828857E-1
1.934820382E0,-8.825272322E-3,9.324932098E-2,-1.111707687E-1
1.950842111E0,-2.059811354E-2,7.963712513E-2,-3.957939148E-2
1.966833322E0,-1.303336024E-2,7.317890227E-2,2.244567871E-2
1.982794015E0,5.821257830E-3,1.081283242E-1,3.906345367E-2
1.998815743E0,-3.998667002E-3,1.251319796E-1,-4.005336761E-2
2.014715402E0,2.193707228E-2,1.474380344E-1,-2.329635620E-2
2.030706613E0,3.633379936E-2,1.315966547E-1,-4.160881042E-3
2.046636788E0,3.897020221E-2,1.345322728E-1,-3.769779205E-2
2.062658517E0,2.296525240E-2,1.700400412E-1,1.256465912E-2
2.078649728E0,9.552657604E-3,1.604684591E-1,3.001213074E-3
2.094610421E0,2.195724845E-2,1.542101353E-1,8.207416534E-2
2.110571114E0,1.531508565E-2,1.216883361E-1,-1.119852066E-1
2.126501290E0,-2.246588469E-3,1.114589125E-1,-2.582130432E-1
2.142523019E0,4.133164883E-3,1.298023313E-1,-5.725574493E-2
2.158514230E0,2.541998029E-2,1.597675234E-1,1.941127777E-1
2.174474923E0,4.588890076E-2,1.774770468E-1,4.816150665E-2
2.190374581E0,1.599508524E-2,1.626829505E-1,2.194690704E-2
2.206365792E0,6.052219868E-2,1.778817773E-1,-5.217742920E-2
2.222326486E0,3.482326865E-2,1.209316552E-1,6.513881683E-2
2.238287179E0,1.374775171E-2,1.331701428E-1,-6.187725067E-2
2.254278390E0,2.132278681E-2,1.175458878E-1,-9.315586090E-2
2.270300118E0,3.356954455E-2,1.261142790E-1,-7.645797729E-2
2.286291329E0,1.121485233E-2,1.309283972E-1,-3.097534180E-2
2.302221505E0,1.350814104E-2,1.127910316E-1,-1.890182495E-2
2.318243234E0,8.088111877E-3,1.178835481E-1,-2.832984924E-2
2.334142892E0,1.111856103E-2,1.112149134E-1,-2.822017670E-2
2.350134103E0,4.691660404E-2,1.156425178E-1,4.846096039E-2
2.366064279E0,1.399558783E-2,1.491294503E-1,2.936840057E-2
2.382086007E0,-1.934498549E-3,1.505512446E-1,-2.085399628E-2
2.398046700E0,1.003211737E-2,1.578798592E-1,-4.710388184E-2
2.414068429E0,1.553559303E-2,1.599275768E-1,-4.214000702E-2
2.430059640E0,1.125806570E-2,1.640913039E-1,4.184722900E-2
2.445959298E0,2.481043339E-4,1.448726207E-1,-1.544380188E-2
2.461981027E0,2.845883369E-3,1.172527522E-1,4.032135010E-3
2.477972238E0,-1.543760300E-5,1.025987938E-1,-5.773258209E-2
2.493932931E0,1.215496659E-2,1.200868264E-1,-5.246829987E-2
2.509954659E0,5.038538575E-2,1.400993317E-1,4.787445068E-4
2.525915353E0,3.857752681E-2,1.297141314E-1,5.420684814E-3
2.541937081E0,5.137121677E-2,1.398832202E-1,-4.712390900E-2
2.557928292E0,3.747540712E-2,1.219022721E-1,-4.696464539E-2
2.573888986E0,1.206088066E-2,1.288977861E-1,-2.525901794E-2
2.589880197E0,5.080610514E-2,9.068854153E-2,1.803588867E-2
2.605779855E0,2.622526884E-2,1.271654665E-1,1.345062256E-2
2.621801583E0,1.434749365E-2,1.438539028E-1,-2.708625793E-2
2.637792794E0,2.929466963E-2,1.479547918E-1,-8.201694489E-2
2.653753488E0,3.447473049E-3,1.358307004E-1,-2.680397034E-2
2.669744698E0,2.750951052E-2,1.456218064E-1,4.280281067E-2
2.685674874E0,3.470742702E-2,1.350532770E-1,3.578853607E-2
2.701696603E0,1.140993834E-2,1.079095751E-1,-8.378314972E-2
2.717687814E0,-1.877784729E-3,8.328400552E-2,-2.617263794E-2
2.733648507E0,4.353421926E-2,1.070830300E-1,3.856754303E-2
2.749639718E0,-5.872726440E-3,1.200499088E-1,2.937316895E-4
2.765600411E0,-3.802180290E-4,1.248932183E-1,1.242256165E-2
2.781591622E0,2.239048481E-3,1.102529317E-1,-5.423259735E-2
2.797613351E0,2.273911238E-2,1.207688004E-1,-3.472709656E-2
2.813574044E0,-1.902121305E-2,1.028901413E-1,1.115617752E-1
2.829565255E0,6.183445454E-3,8.986836672E-2,2.798080444E-2
2.845525948E0,1.661986113E-2,1.045627818E-1,-1.944551468E-1
2.861517159E0,9.272813797E-3,1.092438549E-1,-1.008377075E-1
2.877508370E0,4.457473755E-2,1.006968692E-1,1.055021286E-1
2.893499581E0,1.692008972E-2,1.026957035E-1,-1.094369888E-1
2.909460275E0,2.953571081E-2,1.277466863E-1,3.569602966E-3
2.925390450E0,5.114167929E-2,1.830634326E-1,1.978693008E-1
2.941412179E0,4.884082079E-2,2.081981152E-1,3.055477142E-2
2.957403390E0,5.866014957E-2,2.048145682E-1,2.133178711E-2
2.973364083E0,2.528369427E-2,1.712398231E-1,-4.298782349E-2
2.989355294E0,3.360331059E-3,1.286652982E-1,-7.148265839E-2
3.005285470E0,-2.136629820E-2,1.034233868E-1,-7.353782654E-2
3.021307198E0,-1.067912579E-2,8.229306340E-2,-4.691219330E-2
3.037298409E0,3.334283829E-4,1.347461492E-1,-2.264881134E-2
3.053259103E0,2.379518747E-2,1.120875031E-1,5.423641205E-2
3.069219796E0,9.600758553E-3,1.136659831E-1,2.807521820E-2
3.085211007E0,1.857513189E-2,1.098020524E-1,-6.037998199E-2
3.101202218E0,2.163088322E-2,1.115721613E-1,-7.698917389E-2
3.117223947E0,1.804226637E-2,1.503287405E-1,-5.049705505E-2
3.133184640E0,3.672534227E-2,1.806680858E-1,7.168865204E-2
3.149175851E0,1.682233810E-2,2.029806376E-1,-2.647209167E-2
3.165075509E0,2.550631762E-2,1.986743510E-1,6.914234161E-2
3.181097238E0,4.193341732E-2,1.583126932E-1,5.241298676E-2
3.197057931E0,-6.206631660E-3,1.366035640E-1,-1.967144012E-1
3.213079659E0,9.800016880E-3,1.414889693E-1,-1.727190018E-1
3.229009835E0,2.984762192E-2,1.483136714E-1,2.248802185E-1
3.245031564E0,3.960829973E-2,1.640367508E-1,6.928825378E-2
3.260992257E0,4.446816444E-2,1.689387113E-1,-1.676273346E-2
3.276983468E0,4.130464792E-2,1.993184090E-1,-4.046821594E-2
3.292944161E0,1.651823521E-2,1.752596945E-1,-4.259872437E-2
3.308965890E0,-3.394722939E-3,1.354077458E-1,-1.070928574E-1
3.324957101E0,3.872334957E-3,1.444716752E-1,-5.668067932E-2
3.340948312E0,1.626914740E-2,1.372817755E-1,7.737064362E-2
3.356939523E0,5.544126034E-3,1.344727278E-1,1.034784317E-1
3.372900216E0,-1.197689772E-2,1.475370675E-1,-2.616405487E-2
3.388891427E0,3.892779350E-4,1.654968560E-1,-7.432556152E-2
3.404821603E0,2.546072006E-3,1.919817328E-1,-3.142738342E-2
3.420843331E0,9.625971317E-3,1.943940818E-1,-4.600048065E-2
3.436773507E0,2.474683523E-2,2.097038031E-1,-4.623794556E-2
3.452795236E0,4.122555256E-3,1.956108510E-1,-3.925514221E-2
3.468755929E0,-9.026527405E-3,1.757339537E-1,-1.062107086E-2
3.484747140E0,5.245029926E-3,1.756979823E-1,1.544284821E-2
3.500707833E0,2.068388462E-2,1.456533074E-1,7.894515991E-3
3.516729562E0,1.206886768E-2,1.473373175E-1,-1.385784149E-2
3.532690255E0,7.428526878E-3,1.614362299E-1,-2.391433716E-2
3.548711984E0,1.935660839E-3,1.542592794E-1,-1.475238800E-2
3.564703195E0,1.538038254E-3,1.756704301E-1,-3.912448883E-2
3.580663888E0,2.136015892E-2,1.846224070E-1,5.948066711E-3
3.596655099E0,1.372933388E-2,1.811798364E-1,-4.034042358E-3
3.612615792E0,2.464997768E-2,1.895684451E-1,-2.833366394E-2
3.628607003E0,2.051073313E-2,1.865700632E-1,-1.425838470E-2
3.644567697E0,7.595598698E-3,1.528815776E-1,3.570938110E-2
3.660589425E0,1.319468021E-3,1.716095954E-1,-2.998352051E-3
3.676580636E0,-1.399910450E-2,1.497243643E-1,-9.678363800E-2
3.692541329E0,5.866050720E-3,1.647100598E-1,-5.163478851E-2
3.708532540E0,1.178634167E-2,1.770876497E-1,-6.395912170E-2
3.724493234E0,1.332616806E-2,1.856686771E-1,5.776882172E-2
3.740514962E0,2.314704657E-2,1.867232323E-1,1.484308243E-1
3.756506173E0,-1.662433147E-3,1.554121524E-1,-2.657032013E-2
3.772466866E0,-2.468609810E-2,1.587165743E-1,-1.296815872E-1
3.788458077E0,-8.955657482E-3,2.074468285E-1,1.381969452E-2
3.804449288E0,-2.411615849E-2,1.718550473E-1,-4.858207703E-2
3.820440499E0,-4.860043526E-3,1.984022260E-1,-2.019872665E-1
3.836370675E0,3.736907244E-2,2.309913784E-1,2.263383865E-1
3.852392404E0,1.265555620E-2,1.599420607E-1,-1.079940796E-2
3.868322579E0,1.333618164E-2,1.603415757E-1,-2.957715988E-1
