"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.756218800E-2,1.760381460E-1,-4.303732514E-2,2.458181381E-1
5.352288100E-2,1.990312636E-1,-4.034474492E-2,3.131427765E-1
6.951409200E-2,1.450809389E-1,-4.366114736E-2,1.583347321E-1
8.550530300E-2,6.715175509E-2,-5.841544271E-2,8.310604095E-2
1.014659960E-1,6.059911475E-2,-4.061225057E-2,-5.405616760E-2
1.174572070E-1,7.282222807E-2,-1.751968265E-2,-1.358127594E-1
1.334484180E-1,4.290350527E-2,3.398030996E-3,-1.766729355E-1
1.494091120E-1,-1.813869178E-2,-8.031487465E-3,-4.021358490E-2
1.654003230E-1,-4.562361538E-2,5.338340998E-3,6.509017944E-2
1.813915340E-1,-1.485684514E-2,2.083805203E-2,1.395435333E-1
1.973827440E-1,2.257785201E-2,2.379339933E-2,1.181755066E-1
2.133739550E-1,2.033754438E-2,-1.506835222E-3,4.391288757E-2
2.293346490E-1,-1.211419702E-3,-3.670871258E-2,8.916568756E-2
2.453258600E-1,-5.834738910E-2,-2.135843039E-2,-9.061431885E-2
2.613170710E-1,-1.494402140E-1,-2.384194732E-2,-3.761196136E-2
2.772472460E-1,-4.863412678E-2,2.901792526E-2,-2.054500580E-2
2.932384570E-1,8.167059720E-2,2.849990129E-2,4.900932312E-2
3.092601860E-1,5.571725219E-2,5.970656872E-3,7.757663727E-2
3.251903620E-1,-3.494326770E-2,-1.678442955E-2,1.789665222E-2
3.411510550E-1,-8.637799323E-2,-1.411646605E-2,9.470462799E-2
3.571422660E-1,-9.655277431E-2,4.077869654E-2,-6.551742554E-2
3.731334770E-1,-7.754553854E-2,3.666958213E-2,-6.059646606E-2
3.891552050E-1,3.771878779E-3,3.514602780E-2,-1.347856522E-1
4.051158990E-1,1.620174944E-2,2.472561598E-2,-4.150009155E-2
4.211071100E-1,-5.013024062E-2,5.830460787E-2,1.235809326E-1
