"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.338273100E-2,2.543542534E-2,1.576597989E-2,7.029247284E-2
4.931290700E-2,8.120410144E-3,7.713839412E-3,4.407405853E-2
6.533463500E-2,8.315108716E-3,7.042445242E-3,6.081867218E-2
8.132584600E-2,8.509002626E-3,2.072971314E-2,6.319808960E-2
9.725602200E-2,1.434300840E-2,1.371724904E-2,6.089019775E-2
1.131556800E-1,9.748034179E-3,8.244268596E-3,2.735614777E-2
1.291468910E-1,-9.466506541E-3,5.936153233E-3,4.423236847E-2
1.451075850E-1,1.471638680E-2,-2.543300390E-3,-2.281665802E-2
1.611293130E-1,-6.641566753E-3,-1.417930424E-2,1.016759872E-1
1.770594890E-1,-1.339487731E-2,-1.919865608E-3,2.505397797E-2
1.930507000E-1,-1.042641699E-3,-1.350775361E-2,8.490180969E-2
2.090113930E-1,1.566961408E-2,-8.336089551E-3,-6.081581116E-3
2.250026040E-1,1.308318228E-2,-1.264347881E-2,1.100540161E-3
2.409938150E-1,1.110851765E-3,-9.667128325E-5,7.770919800E-2
2.569850260E-1,-1.330282539E-2,-3.074177355E-2,-3.721523285E-2
2.729457190E-1,5.898438394E-3,-8.809991181E-3,1.231927872E-1
2.889369300E-1,2.241802216E-2,-3.590457141E-3,1.305961609E-2
3.048976240E-1,6.767734885E-4,-3.204897046E-3,7.530784607E-2
3.209193520E-1,4.842728376E-4,1.413045079E-2,-4.201030731E-2
3.368495280E-1,-6.938569248E-3,-2.196244895E-3,-1.309394836E-3
3.528407390E-1,4.696078598E-3,1.973694563E-2,6.812381744E-2
3.688014320E-1,4.599176347E-3,-3.771722317E-3,-7.792472839E-2
3.847926430E-1,-1.455590129E-2,8.680641651E-3,1.279735565E-1
4.007838540E-1,4.549227655E-3,1.605529338E-2,-7.792949677E-2
4.167750650E-1,1.624137163E-3,2.575136721E-3,8.727073669E-2
4.327662760E-1,-1.106932759E-3,1.043069363E-2,-1.328659058E-2
