"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.250667000E-2,5.240078270E-2,-3.773462772E-2,-2.384452820E-1
4.837581000E-2,5.576893687E-3,-7.253074646E-2,-2.053117752E-1
6.421443300E-2,-7.219350338E-2,-1.359415054E-2,2.439355850E-1
8.005305600E-2,-4.846145213E-2,3.250247240E-2,5.527200699E-1
9.595271400E-2,-3.853589296E-3,9.112966061E-2,4.530782700E-1
1.118218550E-1,5.393877625E-2,8.777475357E-2,-7.217502594E-2
1.277215130E-1,-9.039491415E-4,2.506053448E-2,-3.901081085E-1
1.436211710E-1,-1.776053011E-2,-2.589303255E-2,-3.963394165E-1
1.595818650E-1,-1.240625978E-2,-6.996589899E-2,-1.672439575E-1
1.754510050E-1,3.450198472E-2,-4.517829418E-2,1.952753067E-1
1.913201460E-1,3.318414092E-2,-5.403673649E-2,3.433427811E-1
2.072198040E-1,1.643364131E-2,-5.562394857E-2,1.656103134E-1
2.230584270E-1,-1.467429101E-2,-1.819467545E-2,-2.055892944E-1
2.390191210E-1,-5.892507732E-2,6.423479319E-2,-1.038150787E-1
2.548577440E-1,1.076832414E-2,9.613335133E-2,3.131866455E-3
2.706963670E-1,1.581002772E-2,5.416685343E-2,2.841682434E-1
2.865960250E-1,5.180296302E-2,8.569240570E-3,-4.313659668E-2
3.024651660E-1,8.877471089E-3,-8.006078005E-2,-2.446889877E-1
3.183953410E-1,-3.732168674E-2,-7.007265091E-2,-1.585397720E-1
3.342644820E-1,-3.557334840E-2,-6.114357710E-2,-3.218650818E-3
3.501641400E-1,-3.133635223E-2,5.703586340E-2,2.551174164E-1
3.660332810E-1,4.055741429E-2,8.664458990E-2,1.426982880E-1
3.819024210E-1,3.601704538E-2,7.937598228E-2,5.445766449E-2
3.978325970E-1,2.785356343E-2,5.169570446E-2,-1.583814621E-1
4.137017380E-1,9.401723742E-3,3.788262606E-2,-7.465362549E-2
4.296013960E-1,-3.089185059E-2,4.908674955E-2,-8.215522766E-2
4.455010540E-1,-1.765318215E-2,1.302921772E-2,3.721141815E-2
4.614617480E-1,-1.795388758E-2,-2.739542723E-2,5.617332458E-2
4.773614060E-1,-2.246281505E-2,-4.863548279E-2,1.306056976E-2
4.932915820E-1,-2.703249454E-3,-3.587061167E-2,6.000518799E-3
5.091912400E-1,-2.910678089E-2,-6.403744221E-3,-1.327486038E-1
5.250908980E-1,4.582107067E-5,-1.107084751E-2,-6.571197510E-2
5.409905560E-1,1.017999649E-2,-3.185987473E-3,-5.873584747E-2
5.569512500E-1,9.837135673E-3,-3.824609518E-2,2.139730453E-1
5.728203900E-1,-3.320527077E-2,2.388834953E-3,8.469200134E-2
5.886895310E-1,-3.775525093E-2,-5.636692047E-3,-9.943389893E-2
6.045891890E-1,-9.455569088E-2,3.293144703E-2,-1.041049957E-1
6.204888470E-1,-4.563727975E-2,3.520905972E-2,-2.431507111E-1
6.363885050E-1,7.396306843E-2,6.519371271E-2,2.662315369E-1
6.522576460E-1,8.843757957E-2,1.989549398E-2,1.842861176E-1
6.680962690E-1,-1.808500290E-2,-2.070456743E-2,-1.776294708E-1
6.839959270E-1,-5.336360633E-2,-3.429603577E-2,-3.960638046E-1
6.998650680E-1,-6.080016494E-3,-1.934927702E-2,-2.557954788E-1
7.157647260E-1,-3.774076700E-3,1.679378748E-2,9.730625153E-2
7.316338670E-1,-1.537761092E-2,3.028309345E-2,4.243316650E-1
7.475030070E-1,2.287328243E-4,4.072797298E-2,4.048547745E-1
7.634026660E-1,-6.450012326E-3,6.028425694E-2,2.684593201E-2
7.793023240E-1,-3.574736416E-2,5.494046211E-2,-2.816867828E-1
7.952630170E-1,-3.453157842E-2,7.399994135E-2,-2.746667862E-1
8.111626750E-1,-2.412413061E-2,1.338797808E-2,-1.412992477E-1
8.270928510E-1,-2.038499713E-2,-4.804944992E-2,-7.771682739E-2
8.430535450E-1,1.041442156E-3,-6.864380836E-2,-2.259254456E-3
8.589532030E-1,8.134394884E-3,-5.156320333E-2,9.721660614E-2
8.748223430E-1,-2.584518492E-2,-4.441201687E-3,1.466302872E-1
8.906914840E-1,-3.014610708E-2,4.041415453E-2,9.337425232E-2
9.066216600E-1,-1.186320186E-2,3.669163585E-2,4.988098145E-2
9.225518360E-1,-1.239302754E-2,2.485901117E-2,2.081394196E-2
9.384514940E-1,9.455084801E-4,1.231503487E-2,-1.543865204E-1
9.543206340E-1,8.415117860E-3,-2.452290058E-2,-2.172822952E-1
9.702202930E-1,-7.363960147E-3,-2.416256070E-2,-1.559686661E-1
9.861504680E-1,5.702048540E-3,-6.882339716E-3,2.977275848E-2
1.001989091E0,1.718789339E-2,1.553148031E-3,1.821279526E-1
1.017919267E0,1.339364052E-2,9.296715260E-3,1.695680618E-1
1.033849443E0,2.659867704E-2,1.086151600E-2,-5.111694336E-2
1.049657548E0,-7.161483169E-3,2.333551645E-2,-2.003021240E-1
1.065526689E0,1.139090955E-2,4.884389043E-2,-9.767913818E-2
1.081395830E0,1.667843759E-2,5.927228928E-2,6.655311584E-2
1.097295488E0,4.521459341E-3,-4.451572895E-3,1.141700745E-1
1.113225664E0,-2.365802228E-2,-4.370549321E-2,3.474712372E-2
1.129125322E0,-1.550014317E-2,-7.519933581E-2,-4.699039459E-2
1.144994462E0,-1.677566767E-2,-6.800261140E-2,-1.143579483E-1
1.160924638E0,-1.202076674E-2,-4.224891961E-2,-1.456680298E-1
1.176824296E0,-3.846628964E-2,-2.091808617E-2,-1.271867752E-1
1.192723955E0,-8.199051023E-3,-2.061262727E-3,-2.949714661E-2
1.208562578E0,3.090126812E-2,-1.384805143E-2,1.137342453E-1
1.224462236E0,1.007291675E-2,-2.211952209E-2,1.828536987E-1
1.240300859E0,-4.537537694E-2,-2.637384832E-2,-4.000854492E-2
1.256139482E0,-4.010972381E-2,-6.519839168E-3,-7.370376587E-2
1.272039140E0,-5.294123292E-2,-7.591351867E-3,-2.319641113E-1
1.287877763E0,4.565714300E-2,-1.137401164E-2,-2.466440201E-1
1.303777421E0,9.354087710E-2,-1.152500510E-2,1.720104218E-1
