"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.939599800E-2,1.203256845E-2,4.522442818E-2,-3.440666199E-2
5.529565600E-2,6.359323859E-2,8.149456978E-2,-3.037452698E-3
7.116479700E-2,1.304798573E-1,5.534714460E-2,9.475231171E-2
8.712549000E-2,1.440930218E-1,4.038175941E-2,1.499176025E-2
1.030251490E-1,1.187573075E-1,1.202380657E-2,-4.563331604E-2
1.189858420E-1,5.368004739E-2,-1.283669472E-2,-4.138851166E-2
1.348244650E-1,3.138840199E-3,2.108108997E-2,1.500597000E-1
1.507241230E-1,1.860612631E-2,-4.134774208E-4,5.714054108E-1
1.666542990E-1,3.630672395E-2,5.805227160E-2,-1.904582977E-1
1.824929220E-1,9.374815971E-2,2.025765181E-2,2.863550186E-1
1.984230980E-1,3.927119076E-2,9.675294161E-2,-1.362724304E-1
2.143227560E-1,2.093866467E-2,3.319489956E-2,-2.219343185E-1
2.302224140E-1,-4.850578308E-2,4.646164179E-2,1.598186493E-1
2.461220720E-1,-6.117047369E-2,-2.780044079E-2,-2.304687500E-1
2.619606950E-1,-6.442739069E-2,-3.490871191E-2,3.369541168E-1
2.778908710E-1,-6.015232205E-2,-2.825647593E-2,-3.264999390E-1
2.937294940E-1,-4.928871989E-2,7.582306862E-4,3.679599762E-1
3.095986350E-1,-2.265080810E-2,4.567551613E-2,-7.240867615E-2
3.254677750E-1,-9.753882885E-3,-8.279502392E-3,2.222423553E-1
3.413369160E-1,-3.304693103E-2,6.087082624E-2,-2.204484940E-1
3.572365740E-1,-5.899819732E-2,1.601779461E-2,-3.112478256E-1
3.731057150E-1,-4.832059145E-2,6.558823586E-2,9.098243713E-2
3.890053730E-1,-6.033098698E-2,-6.770431995E-3,6.214618683E-2
4.050271020E-1,-8.823400736E-2,3.313988447E-2,5.051403046E-1
4.209572770E-1,-8.193716407E-2,1.543605328E-2,-3.635883331E-1
4.368569360E-1,-4.158598185E-2,-1.082277298E-2,1.348686218E-1
4.527871110E-1,-2.866655588E-3,1.666647196E-2,-3.174133301E-1
4.687172870E-1,-2.057373524E-3,-4.927688837E-2,1.061792374E-1
4.846474630E-1,1.558142900E-2,6.799709797E-2,4.771690369E-1
5.004860860E-1,1.049571037E-1,3.163498640E-2,1.252031326E-1
5.163857440E-1,1.173890680E-1,7.491898537E-2,-6.604290009E-2
5.322548850E-1,8.306916058E-2,-2.120834589E-2,-7.792978287E-1
5.481240250E-1,3.693225980E-2,-4.007309675E-2,-2.065086365E-2
5.640542010E-1,9.489268064E-3,-6.940245628E-3,-2.824535370E-1
5.798928240E-1,-1.125064492E-2,4.855239391E-2,7.701225281E-1
5.958230000E-1,-1.462817192E-2,7.997363806E-2,3.173112869E-1
6.117531760E-1,7.174685597E-2,5.834102631E-3,3.705148697E-1
6.277138690E-1,7.686722279E-2,4.194140434E-2,-9.061717987E-2
6.435830100E-1,4.298660159E-2,2.026814222E-2,-3.149766922E-1
6.595437030E-1,-3.163754940E-3,9.483695030E-3,-1.567640305E-1
6.754738790E-1,-3.535023332E-2,3.960847855E-3,4.661750793E-2
6.913735370E-1,-1.508468390E-2,-6.688058376E-3,1.135444641E-1
7.072731950E-1,7.953181863E-3,-3.202742338E-2,6.093120575E-2
7.231728540E-1,5.326524377E-3,-4.138171673E-3,6.050109863E-3
7.391640650E-1,-1.813793182E-2,1.418590546E-2,1.104259491E-2
7.551247580E-1,-4.854899645E-2,5.252188444E-2,4.019737244E-3
7.710244160E-1,-5.798992515E-2,7.231843472E-2,-3.657245636E-2
7.869240740E-1,-2.881470323E-2,5.162656307E-2,4.232406616E-3
8.028237330E-1,-2.233847976E-2,4.452526569E-3,3.310871124E-2
8.187844260E-1,3.190936148E-2,-3.610253334E-2,-8.403110504E-2
8.346230490E-1,4.512041807E-2,-1.585721970E-2,-6.476593018E-2
8.505227070E-1,4.433313012E-2,1.801979542E-2,1.426315308E-2
8.664223650E-1,1.932862401E-2,4.568231106E-2,5.013084412E-2
8.823220240E-1,2.636645734E-2,7.237023115E-2,3.813552856E-2
8.982521990E-1,2.756915987E-2,7.896214724E-2,5.250453949E-2
9.141823750E-1,3.226946294E-2,6.566643715E-2,4.294395447E-2
9.300209980E-1,4.181310534E-2,3.729498386E-2,-1.206302643E-2
9.459206560E-1,3.885656595E-3,3.108704090E-2,-7.427692413E-2
9.619118670E-1,9.807601571E-3,-2.606004477E-2,-6.714630127E-2
9.778725610E-1,-5.155131221E-3,-4.225504398E-2,-3.382301331E-2
9.938027360E-1,5.881950259E-3,-5.675494671E-2,-1.018619537E-2
1.009793947E0,2.363607287E-3,-8.487701416E-3,8.627891541E-3
1.025724123E0,1.072546840E-2,-3.610670567E-3,2.506637573E-2
1.041593264E0,2.641199529E-2,4.646503925E-2,2.237510681E-2
1.057492922E0,3.056609631E-2,5.061686039E-2,1.732635498E-2
1.073423098E0,3.299394250E-2,3.783279657E-2,-2.360534668E-2
1.089322756E0,1.651895046E-2,3.974479437E-2,1.685333252E-2
1.105191897E0,-3.043323755E-3,1.844429970E-2,2.134418488E-2
1.121152590E0,-2.166582644E-2,1.428264380E-2,-6.520175934E-2
1.136991213E0,-1.988902688E-2,1.643556356E-2,-1.398849487E-1
1.152860354E0,-1.144821942E-2,2.930283546E-3,-8.787441254E-2
1.168760012E0,-6.521075964E-3,4.956054688E-2,1.196584702E-1
1.184598635E0,1.789772511E-2,-1.944702864E-2,1.979675293E-1
1.200589846E0,-2.167625725E-2,8.588808775E-2,7.785606384E-2
1.216520022E0,-1.285144687E-2,1.996296644E-2,-5.639877319E-1
1.232389162E0,1.657742262E-2,4.616877437E-2,2.282180786E-1
