"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.725783700E-2,1.286831498E-2,-1.396040246E-2,2.247142792E-2
5.324904800E-2,-1.643542200E-2,-1.099371165E-2,2.486801147E-2
6.917922300E-2,9.328566492E-3,-1.999912784E-2,6.078338623E-2
8.520095200E-2,-5.608931184E-3,-1.463937759E-2,5.120944977E-2
1.012226800E-1,-1.347056031E-2,4.171326756E-3,5.352210999E-2
1.171833740E-1,7.503710687E-3,-1.201559976E-2,4.394817352E-2
1.331440670E-1,-2.524554729E-4,-1.866307110E-3,3.198051453E-2
1.491352780E-1,-2.932637930E-3,-2.066370100E-3,4.873085022E-2
1.650959710E-1,6.882645190E-3,-1.006836444E-2,-3.269767761E-2
1.810566650E-1,-2.530068159E-4,2.014878765E-2,7.741451263E-2
1.970478760E-1,-8.980348706E-3,1.187223941E-2,1.280879974E-2
2.130085690E-1,7.969893515E-3,-5.794458091E-3,1.037654877E-1
2.289997800E-1,2.372689545E-3,1.087977737E-2,-3.026199341E-2
2.449604730E-1,2.564005554E-3,7.625043392E-3,-2.549743652E-2
2.609211670E-1,4.803732038E-3,6.757281721E-3,5.115127563E-2
2.769428950E-1,-9.417988360E-3,8.347086608E-3,-4.224777222E-2
2.929341060E-1,-9.322464466E-3,2.175597847E-2,1.061716080E-1
3.088948000E-1,1.907156408E-2,-2.956725657E-3,-5.425643921E-2
3.248554930E-1,-3.520399332E-5,2.252637595E-2,7.261848450E-2
3.408161860E-1,1.178743690E-2,1.686346903E-2,-3.513526917E-2
3.568073970E-1,-2.662435174E-3,1.105559245E-2,7.658004761E-4
3.727680910E-1,-1.697792113E-2,2.198936045E-2,5.342483521E-2
3.887287840E-1,1.166202873E-2,8.937837556E-3,1.510810852E-2
4.047505120E-1,4.515714943E-3,5.323746055E-2,1.108655930E-1
4.207417230E-1,1.148694754E-2,3.279269487E-2,-5.194473267E-2
4.367024170E-1,1.684948802E-3,3.590722382E-2,9.409904480E-2
4.526631100E-1,-8.257180452E-4,6.049838662E-2,-2.800941467E-2
4.686543210E-1,-5.722753704E-3,3.928828239E-2,-1.604080200E-2
4.846455320E-1,-2.011262625E-2,4.894905165E-2,5.338954926E-2
5.005757080E-1,1.565562934E-2,5.144422501E-2,-1.125526428E-2
5.166279540E-1,-1.801492274E-2,5.378953367E-2,1.252164841E-1
5.326191650E-1,-1.422502100E-3,4.413175955E-2,-7.589530945E-2
5.486103760E-1,1.771565527E-2,5.822090805E-2,7.972812653E-2
5.645710690E-1,-1.337790489E-2,5.316288769E-2,-2.561759949E-2
5.805317620E-1,1.123718917E-3,5.517280102E-2,8.690929413E-2
5.964924560E-1,1.205444336E-3,6.917947531E-2,5.339050293E-2
6.124531490E-1,2.029349655E-2,7.098125666E-2,-3.040409088E-2
6.284443600E-1,3.536619246E-3,6.789411604E-2,1.132507324E-1
6.444355710E-1,5.757212639E-3,7.686454058E-2,-7.109928131E-2
6.604573000E-1,-8.586056530E-3,6.654872000E-2,1.509380341E-2
6.764179930E-1,-1.686029136E-3,8.004584908E-2,-4.054069519E-3
6.923786860E-1,-6.543032825E-3,7.624040544E-2,2.707386017E-2
7.083698970E-1,2.945572138E-3,6.536857039E-2,4.383468628E-2
7.243305910E-1,3.290876746E-3,8.328001946E-2,1.270866394E-2
7.402912840E-1,9.243339300E-4,7.940468937E-2,3.665256500E-2
7.562824950E-1,2.270787954E-2,7.806205004E-2,1.270961761E-2
7.723042230E-1,5.854241550E-3,8.867326379E-2,7.925033569E-3
7.882649170E-1,-1.358635724E-3,9.183991700E-2,5.532264709E-3
8.042866450E-1,1.289028674E-2,8.032375574E-2,1.990032196E-2
8.202473390E-1,7.659420371E-4,7.844920456E-2,2.469158173E-2
8.362080320E-1,-6.500758231E-3,6.715947390E-2,-1.643180847E-3
8.521687250E-1,5.479060113E-3,9.187100828E-2,-8.822441101E-3
8.681294190E-1,-3.995060921E-3,6.390689313E-2,-8.822441101E-3
8.841511470E-1,-3.845788538E-3,9.094889462E-2,2.469635010E-2
9.001423580E-1,8.138358593E-3,7.969312370E-2,4.385185242E-2
9.161030520E-1,-1.098573208E-2,7.807141542E-2,3.152847290E-3
9.320637450E-1,-1.421853900E-3,7.617734373E-2,1.273059845E-2
9.480549560E-1,1.766442508E-2,9.101619571E-2,1.991558075E-2
9.640461670E-1,-1.096495241E-2,8.890161663E-2,2.231025696E-2
9.800068600E-1,-3.678321838E-3,6.994686276E-2,1.512527466E-2
9.959980710E-1,-1.318632811E-2,9.633579105E-2,1.273155212E-2
1.011989282E0,-3.480680287E-3,9.401933849E-2,1.273059845E-2
1.027980493E0,-5.787059665E-3,9.155274928E-2,7.940292358E-3
1.043941186E0,-5.662456155E-3,9.385316819E-2,3.149986267E-3
1.059901880E0,-3.166638315E-3,1.058663204E-1,-1.839923859E-2
1.075893091E0,2.795837075E-2,8.459007740E-2,1.990890503E-2
1.091884302E0,-3.383561969E-3,8.723882586E-2,1.512432098E-2
1.107844995E0,-9.398981929E-4,1.064045057E-1,1.991176605E-2
1.123805688E0,-5.871489644E-3,8.030847460E-2,1.752090454E-2
1.139827417E0,6.235428154E-3,8.305751532E-2,2.949047089E-2
1.155788110E0,3.687165678E-3,8.320266008E-2,2.709865570E-2
1.171748803E0,3.621354699E-3,9.305194765E-2,1.512908936E-2
1.187740014E0,-6.158493459E-3,7.427445054E-2,4.625797272E-2
1.203731225E0,5.801022053E-3,1.128735542E-1,7.951736450E-3
1.219661401E0,5.924940109E-3,8.428588510E-2,1.752758026E-2
1.235683130E0,-1.134507358E-3,9.628635645E-2,7.949829102E-3
1.251643823E0,1.326040924E-2,1.009485126E-1,5.554199219E-3
1.267635034E0,1.566775888E-2,1.054908931E-1,-1.629829407E-3
1.283595727E0,3.675952554E-3,1.075437963E-1,-4.025459290E-3
1.299525903E0,1.096226275E-3,1.069857255E-1,1.273632050E-2
1.315578149E0,-1.423455775E-3,8.745277673E-2,1.991844177E-2
1.331569360E0,8.122622967E-3,8.266731352E-2,7.648468018E-4
1.347560571E0,1.029654592E-2,8.966226131E-2,1.273918152E-2
1.363521264E0,-6.455421448E-3,8.734661341E-2,1.034450531E-2
1.379481958E0,1.262690127E-2,6.603360921E-2,7.952690125E-3
1.395473169E0,-1.630575210E-2,7.604039460E-2,2.710914612E-2
1.411464380E0,-2.339447290E-2,9.301411361E-2,7.724761963E-4
1.427394555E0,-4.166096449E-3,8.598181605E-2,7.715225220E-4
1.443355249E0,3.077395260E-3,9.834086895E-2,7.724761963E-4
1.459376977E0,-8.765831590E-3,1.007303596E-1,2.471256256E-2
1.475368188E0,3.316201270E-3,9.119939059E-2,7.952690125E-3
1.491328882E0,1.046711951E-2,1.007473171E-1,7.705688477E-4
1.507320093E0,-6.387121975E-3,8.156761527E-2,1.753044128E-2
1.523311303E0,7.888510823E-3,1.007886231E-1,3.167152405E-3
1.539302514E0,7.963337004E-3,9.352467954E-2,5.558967590E-3
1.555263208E0,-8.754841983E-3,9.320165217E-2,1.274108887E-2
1.571254419E0,-1.698493958E-3,8.107000589E-2,5.558967590E-3
1.587215112E0,5.523018539E-3,7.395990938E-2,1.274204254E-2
1.603175805E0,-6.556645036E-3,8.140626550E-2,-1.622200012E-3
1.619136499E0,2.454224229E-2,7.939410210E-2,2.471637726E-2
1.635127710E0,7.788196206E-3,7.980408520E-2,5.563735962E-3
1.651088403E0,5.679577589E-4,9.690128267E-2,1.753711700E-2
1.667018579E0,-1.655541360E-3,8.770067990E-2,7.762908936E-4
1.683040307E0,-1.117215306E-2,9.029045701E-2,-1.119518280E-2
1.699062036E0,3.156080842E-3,7.004983723E-2,5.553245544E-3
1.715022729E0,-4.263438284E-3,8.997105807E-2,1.273441315E-2
1.731013940E0,4.837587476E-4,9.553554654E-2,1.512527466E-2
1.746974634E0,-1.962088048E-3,7.955864072E-2,1.272678375E-2
1.762935327E0,3.517866135E-4,7.473558187E-2,1.990509033E-2
