"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.539840100E-2,1.570288837E-2,3.340813890E-2,6.060218811E-2
5.135909500E-2,1.462938637E-2,1.103585213E-2,7.032203674E-2
6.728927100E-2,2.143093944E-2,1.821732521E-2,3.201961517E-2
8.321944600E-2,1.626149565E-2,-5.725800991E-3,1.014547348E-1
9.918014000E-2,2.066741139E-2,1.582089812E-2,7.033538818E-2
1.151713510E-1,1.132711768E-3,3.848746419E-3,8.230972290E-2
1.310710090E-1,1.379623264E-2,-1.144982874E-2,3.438949585E-3
1.470011850E-1,-1.287231594E-2,-8.913636208E-3,1.518821716E-1
1.629923960E-1,1.083023846E-2,-1.595256105E-2,-6.359481812E-2
1.788920540E-1,-1.574435085E-2,-8.723571897E-3,1.494922638E-1
1.948527470E-1,5.422487855E-3,-1.336964220E-2,1.302719116E-2
2.108439580E-1,5.374416709E-3,-3.744751215E-3,1.111888885E-1
2.267436160E-1,-4.248850048E-3,-1.399897039E-3,9.203624725E-2
2.427653450E-1,7.530584931E-3,-1.317932457E-2,2.021121979E-2
2.587260380E-1,-1.901648939E-3,6.020963192E-3,1.159772873E-1
2.746256960E-1,2.791337669E-3,-2.740219980E-2,-4.682826996E-2
2.906169070E-1,-9.083516896E-3,3.489474952E-2,1.518898010E-1
3.065776010E-1,7.677704096E-3,1.344054937E-2,-1.091766357E-2
3.225688120E-1,-1.870569587E-2,1.114092022E-2,3.696727753E-2
3.385295050E-1,-7.167354226E-3,1.837243885E-2,4.176139832E-2
3.544291630E-1,-4.867501557E-3,4.196137190E-3,-3.729820251E-3
3.704508920E-1,-7.309459150E-3,9.127959609E-3,8.246040344E-2
3.863810680E-1,6.912112236E-3,-5.044840276E-3,-3.964233398E-2
4.023417610E-1,2.028658986E-3,2.368498594E-2,1.710491180E-1
4.183329720E-1,2.075649798E-3,-1.687076688E-2,-5.879783630E-2
4.342631480E-1,-1.238532364E-2,2.378880978E-3,1.231632233E-1
4.502543590E-1,-7.548503578E-3,1.205183566E-2,-1.809597015E-2
4.662150520E-1,-1.726862788E-2,-9.210318327E-3,-1.570224762E-2
4.822062630E-1,-1.497055590E-2,1.717440039E-2,1.016139984E-1
4.981669560E-1,-3.239899874E-3,-2.352659404E-2,-1.333236694E-3
5.140666140E-1,-5.775973201E-3,9.991027415E-3,1.902055740E-1
5.300883430E-1,1.332922280E-2,-1.146020740E-2,-8.034038544E-2
5.460185190E-1,-1.061142236E-2,-1.136661321E-2,8.246517181E-2
5.620097300E-1,-1.295859367E-2,7.931701839E-3,-2.288150787E-2
5.779704230E-1,-1.544789970E-2,3.286302090E-3,1.255588531E-1
5.939311160E-1,-5.823165178E-3,2.258324623E-2,6.330871582E-2
6.099528450E-1,2.511034906E-2,-1.264058053E-3,-6.122589111E-3
6.258830210E-1,-1.321598887E-3,-8.446030319E-3,7.528305054E-2
6.418437140E-1,-1.329191774E-2,-3.611147404E-3,4.894542694E-2
6.577738900E-1,-1.342188567E-2,2.046346664E-2,3.936958313E-2
6.736735480E-1,-1.108696312E-2,1.817975193E-2,3.936958313E-2
6.896952760E-1,-1.115535945E-2,8.616149426E-3,5.613040924E-2
7.056254520E-1,-3.925561905E-3,1.349962503E-2,1.542663574E-2
7.216166630E-1,-1.374041289E-2,-1.278974488E-2,5.852508545E-2
7.375773570E-1,-1.961514354E-3,-5.414947867E-3,8.248329163E-3
7.535075320E-1,-1.402812451E-2,-1.015540212E-2,3.458595276E-2
7.695292610E-1,-1.402778178E-2,-5.319356918E-3,2.979660034E-2
7.854594370E-1,-2.103939652E-3,-5.081363022E-3,3.458404541E-2
8.014506480E-1,-2.140048146E-2,1.172516495E-2,5.373954773E-2
8.174113410E-1,-1.177562028E-2,-2.543710172E-3,3.219032288E-2
8.333720340E-1,-4.687383771E-3,1.416694373E-2,3.937435150E-2
8.493632450E-1,-4.783228040E-3,2.195298672E-3,3.937530518E-2
8.652629030E-1,-2.578765154E-3,1.177150756E-2,3.698348999E-2
8.812235970E-1,-5.065947771E-4,3.348439932E-2,4.895782471E-2
8.971842900E-1,1.359051466E-2,2.634087950E-2,5.853748322E-2
9.131144660E-1,-3.190591931E-3,-1.964718103E-5,2.980804443E-2
9.291361940E-1,-8.093208075E-3,2.629616112E-2,2.980899811E-2
9.450663700E-1,-1.069404930E-2,2.371338755E-2,4.896640778E-2
9.610575810E-1,1.094818115E-3,-1.223116741E-2,4.657554626E-2
9.770182750E-1,-6.208211184E-3,1.181829721E-2,1.086235046E-3
9.929484500E-1,-1.123427600E-2,-4.989452660E-3,3.700351715E-2
1.008909144E0,1.018735766E-2,-5.002520978E-3,4.179286957E-2
1.024839319E0,-1.926749945E-3,-2.612024546E-4,4.418945312E-2
1.040861048E0,2.717271447E-3,7.113970816E-3,3.461265564E-2
