"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.378182074E0,-1.229509711E-3,3.003221750E-2,-5.708694458E-3
1.394203802E0,1.383075118E-2,2.632057667E-2,3.027820587E-2
1.410195013E0,1.427772641E-2,4.501014948E-2,-2.220916748E-2
1.426155707E0,-2.005961537E-2,3.424400091E-2,4.392623901E-3
1.442146918E0,5.166217685E-3,1.449400187E-2,4.772186279E-2
1.458077093E0,2.077518404E-2,6.964921951E-3,4.075622559E-2
1.474068304E0,-4.399403930E-3,1.367419958E-2,-2.844619751E-2
1.490090033E0,3.794044256E-3,9.122371674E-3,-2.347373962E-2
1.506050726E0,2.162119746E-2,5.480408669E-3,-8.989334106E-3
1.522041937E0,1.097899675E-2,-7.326602936E-4,-2.083301544E-2
1.538002631E0,1.016749442E-2,-5.793571472E-5,2.479648590E-2
1.553993841E0,-1.034478843E-2,-4.796326160E-3,1.541900635E-2
1.570015570E0,-1.155400276E-2,2.612054348E-2,-2.267360687E-2
1.585945746E0,-7.058069110E-3,2.176141739E-2,1.414299011E-3
1.601906439E0,-2.906127274E-2,3.662705421E-3,1.588630676E-2
1.617897650E0,-2.249759436E-2,1.418066025E-2,1.121711731E-2
1.633858343E0,3.212049603E-3,4.574745893E-2,-7.781028748E-3
1.649788519E0,4.618033767E-3,6.500822306E-2,-9.985923767E-3
1.665779730E0,-3.606647253E-3,4.615539312E-2,-2.626419067E-3
1.681770941E0,-1.179192960E-2,2.280849218E-2,-7.260322571E-3
1.697762152E0,-2.717757225E-2,-5.136132240E-4,-2.316474915E-3
1.713692328E0,-2.087393403E-2,1.693928242E-2,-2.132511139E-2
1.729683539E0,-1.201514900E-2,3.226703405E-2,-2.049446106E-3
1.745705267E0,-2.925708890E-3,1.901316643E-2,1.481723785E-2
1.761696478E0,-8.118405938E-3,1.792961359E-2,3.406047821E-2
1.777657172E0,-3.106042743E-3,1.407259703E-2,7.486343384E-2
1.793648383E0,1.879999042E-2,2.380764484E-2,-2.793216705E-2
1.809639593E0,-7.190600038E-3,-4.011213779E-3,-8.768844604E-2
1.825600287E0,-9.213432670E-3,1.603287458E-2,-5.185031891E-2
1.841591498E0,1.764537394E-2,2.950459719E-2,7.013225555E-2
