"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.374518819E0,-5.764887482E-2,5.422681570E-2,1.495265961E-2
1.390540548E0,-7.187648863E-2,8.076062799E-2,3.410816193E-2
1.406531758E0,-2.929829806E-2,8.327633142E-2,5.565929413E-2
1.422522969E0,2.452150173E-2,2.487942576E-2,-1.620101929E-2
1.438514180E0,1.861778833E-2,-3.758922219E-2,-3.057193756E-2
1.454474874E0,9.028533474E-3,-4.917898774E-2,3.169250488E-2
1.470496602E0,-2.246287279E-2,-4.214027524E-2,3.168582916E-2
1.486487813E0,-6.754292175E-3,2.646952868E-3,3.165626526E-2
1.502448507E0,-8.033225313E-3,3.109005094E-2,7.234287262E-2
1.518409200E0,-1.113386266E-2,3.131383657E-2,6.277370453E-2
1.534430928E0,4.701910540E-3,2.229037881E-2,1.012134552E-2
1.550422139E0,2.627656981E-2,2.360039949E-2,-1.239032745E-1
1.566413350E0,-3.776317835E-2,1.816043258E-2,1.802310944E-1
1.582404561E0,5.736762658E-3,-2.795383334E-2,1.740074158E-2
1.598365255E0,4.307366908E-2,-4.284435511E-2,-6.880664825E-2
1.614356466E0,-1.633565687E-2,-1.107352972E-2,6.290054321E-2
1.630286641E0,-1.094060764E-2,1.014405489E-2,5.810165405E-2
1.646308370E0,-4.615206271E-3,-3.028184175E-3,-1.616287231E-2
1.662299581E0,5.208671093E-3,1.344335079E-2,2.979278564E-3
1.678260274E0,7.041983306E-3,3.104054928E-2,6.765556335E-2
1.694251485E0,2.813713998E-2,3.854218125E-2,8.203220367E-2
1.710273214E0,4.200338572E-2,3.082317114E-2,3.173065186E-2
1.726264425E0,5.692336708E-3,1.123970747E-2,-2.335453033E-2
1.742225118E0,-1.629549079E-2,-2.681604028E-2,5.384445190E-3
1.758185811E0,-4.347530380E-2,-4.793360829E-2,4.370784760E-2
1.774177022E0,1.590013504E-2,-4.575926065E-2,2.215003967E-2
1.790137716E0,3.526439145E-2,-2.211609483E-2,-1.377487183E-2
1.806128926E0,6.095420569E-3,2.042919397E-3,2.992630005E-3
1.822120137E0,-2.298067324E-2,1.650452614E-2,1.736068726E-2
1.838111348E0,-4.708546773E-2,1.180502772E-2,7.786750793E-3
1.854072042E0,-4.051965475E-2,1.000085473E-2,1.738643646E-2
1.870002217E0,-9.290089831E-3,8.635640144E-3,7.488822937E-2
1.885993428E0,8.655323647E-3,5.076241493E-2,7.910728455E-3
1.902015157E0,-2.913046628E-3,6.051149964E-2,-8.296489716E-2
1.918006368E0,-2.081870846E-2,-6.624758244E-3,-2.531623840E-2
1.933997579E0,-3.380871937E-2,-1.631820202E-2,1.281023026E-1
1.949927755E0,1.877544448E-3,4.849016666E-3,1.688871384E-1
1.965857930E0,2.898272872E-2,5.128791928E-2,-3.218555450E-2
1.981879659E0,-6.642045453E-3,4.037848115E-2,-7.513618469E-2
1.997901387E0,-3.436338529E-2,2.641618252E-3,6.489753723E-3
2.013831563E0,-3.019508533E-2,-2.195715904E-3,-7.674217224E-3
2.029822774E0,1.328318007E-2,-4.884332418E-3,4.504203796E-3
2.045752950E0,3.134747595E-2,1.001498103E-2,2.368726730E-1
2.061774678E0,1.065304279E-1,4.204088449E-2,-3.375997543E-1
2.077765889E0,-1.577654853E-2,-1.163268089E-2,-9.230613708E-3
2.093726583E0,-5.738131329E-2,-5.838599801E-2,1.899709702E-1
2.109626241E0,-2.126012370E-2,-6.916925311E-2,6.814384460E-2
2.125586934E0,6.789130718E-2,7.299244404E-3,6.825160980E-2
2.141517110E0,4.217692465E-2,8.870178461E-2,7.076263428E-2
2.157477803E0,-3.370018303E-2,1.319941282E-1,2.790451050E-2
2.173499532E0,-3.192993253E-2,9.648832679E-2,9.114265442E-3
2.189490743E0,-1.139238570E-2,3.528487682E-2,2.388095856E-2
2.205512471E0,-1.655728184E-2,-3.595453501E-2,4.114627838E-2
2.221473165E0,-4.848523065E-3,-8.315756917E-2,-1.137161255E-2
2.237433858E0,-1.318297256E-2,-9.151607752E-2,2.724075317E-2
2.253455587E0,-3.135027736E-2,-5.759793520E-2,7.299709320E-2
2.269446798E0,-4.257666413E-3,1.549720764E-3,1.067266464E-1
2.285438008E0,4.215252120E-3,4.257407784E-2,8.292579651E-2
2.301429219E0,-3.852789290E-3,2.829980850E-2,3.038406372E-2
2.317359395E0,-3.286300926E-3,3.611302376E-2,-3.649520874E-2
2.333381124E0,-1.574985683E-2,1.923865080E-2,4.036903381E-2
2.349341817E0,-2.210349590E-2,1.217377186E-2,1.004877090E-1
2.365333028E0,1.698969118E-2,-3.482854366E-2,4.081058502E-2
2.381263204E0,2.845931612E-2,-1.980453730E-2,-9.549236298E-2
2.397223897E0,-2.298330516E-2,1.254379749E-3,-1.883506775E-3
2.413245626E0,-2.675620280E-2,3.960925341E-2,3.190326691E-2
2.429206319E0,-3.035769332E-4,4.538232088E-2,-9.945487976E-2
2.445167012E0,1.172094233E-2,1.036053896E-2,-5.623817444E-3
2.461097188E0,2.997905388E-2,-4.417717457E-3,1.385564804E-1
2.477057882E0,1.448900159E-2,8.682370186E-3,1.796026230E-1
2.493079610E0,1.826209389E-2,9.702384472E-3,-2.849292755E-2
2.509009786E0,-7.084606215E-3,1.221299171E-4,-8.566951752E-2
2.525031514E0,7.865610532E-4,-3.788799047E-2,-8.606910706E-3
2.540992208E0,2.382075042E-2,-3.965467215E-2,7.566452026E-2
2.556922383E0,2.300072089E-2,-3.508180380E-2,3.539180756E-2
2.572944112E0,8.059665561E-6,-1.439499855E-2,2.142047882E-2
2.588904805E0,-1.938897930E-2,2.019411325E-2,-6.940841675E-3
2.604926534E0,-2.172672376E-2,1.947927475E-2,-5.201816559E-2
2.620948262E0,1.948222332E-2,3.078866005E-2,-1.160869598E-1
2.636939473E0,1.603439637E-2,1.420027018E-2,9.203910828E-3
2.652900167E0,-1.141532883E-2,8.702278137E-3,1.895189285E-1
2.668799825E0,-2.537997812E-2,-7.783770561E-3,1.301708221E-1
2.684791036E0,-2.764602751E-2,-3.163337708E-3,1.077842712E-2
2.700721212E0,7.388530299E-3,-1.030504704E-3,2.545738220E-2
2.716681905E0,3.836305439E-2,-1.521486044E-2,8.804893494E-2
2.732703633E0,3.290546685E-2,-3.569424152E-3,5.723571777E-2
2.748694844E0,-3.255426511E-2,1.115137339E-2,-4.056549072E-2
2.764686055E0,-4.313261807E-2,6.986081600E-3,9.628772736E-2
2.780585714E0,3.214221448E-3,2.284324169E-2,-7.103252411E-2
2.796576925E0,3.118282743E-2,2.183818817E-2,-2.453832626E-1
2.812507100E0,-1.014259644E-2,-1.427996159E-2,5.619678497E-1
2.828498311E0,7.141630352E-2,-2.168750763E-2,-2.376890182E-1
2.844459005E0,9.139478207E-4,-2.065080404E-2,-1.727590561E-1
2.860480733E0,6.147705019E-3,-8.851945400E-3,2.180385590E-1
2.876471944E0,6.681980938E-2,-2.031821012E-2,7.699108124E-2
2.892463155E0,7.602335513E-2,2.984482050E-2,-4.513168335E-2
2.908393331E0,-7.793627679E-3,3.752130270E-2,-2.338981628E-2
2.924354024E0,-1.056343988E-1,4.839229584E-2,3.931140900E-2
2.940375753E0,-2.243367769E-2,4.726403952E-2,6.352901459E-2
2.956366964E0,5.080541223E-2,2.971035242E-2,5.960083008E-2
2.972327657E0,5.563431978E-2,-3.759610653E-2,1.246004105E-1
2.988288350E0,1.682559028E-2,-7.845878601E-2,6.491947174E-2
3.004279561E0,-1.647209562E-2,-7.195949554E-2,7.588386536E-3
3.020209737E0,1.172746718E-2,-4.001665115E-2,-1.610279083E-2
3.036231466E0,-1.550378278E-2,1.169919968E-2,6.799602509E-2
3.052131124E0,4.973012954E-3,3.572499752E-2,1.232624054E-1
3.068122335E0,6.874699146E-3,1.169228554E-2,1.232576370E-1
3.084021993E0,2.069954947E-2,3.554511070E-2,-1.257448196E-1
3.100043721E0,-1.619374752E-2,2.519118786E-2,1.803874969E-2
3.116004415E0,5.680695176E-4,3.938829899E-2,-5.580615997E-2
3.132026143E0,4.189864546E-2,-2.367979288E-2,-8.881187439E-2
3.148017354E0,4.407797009E-2,-5.213624239E-2,2.252464294E-1
3.164008565E0,1.292947307E-2,-2.318412066E-2,4.997253418E-3
3.179938741E0,-7.980581373E-3,1.227492094E-2,-1.624450684E-1
3.195899434E0,-1.165317744E-2,5.897092819E-2,-4.224586487E-2
3.211829610E0,-9.260252118E-3,6.610447168E-2,1.091823578E-1
3.227851339E0,2.656868845E-2,3.996384144E-2,1.957960129E-1
3.243842550E0,1.774714887E-2,1.044589281E-2,1.336889267E-1
3.259803243E0,4.588638246E-2,-1.741892099E-2,-6.495571136E-2
3.275794454E0,2.170614898E-2,-2.764761448E-2,-8.137130737E-2
3.291724630E0,1.840010285E-3,-5.465692282E-2,5.760192871E-4
3.307685323E0,-2.081374824E-2,-2.923941612E-2,1.064529419E-1
3.323646016E0,-1.474720240E-2,-8.800446987E-3,6.606960297E-2
3.339545675E0,8.400984108E-3,1.975882053E-2,1.358890533E-2
3.355536885E0,2.739434689E-2,2.099597454E-2,-6.271648407E-2
3.371436544E0,-6.140112877E-3,2.748787403E-3,-2.631759644E-2
3.387336202E0,-1.557310671E-2,-1.472651958E-2,4.606342316E-2
3.403327413E0,-2.112314105E-4,-1.870965958E-2,3.219223022E-2
3.419257589E0,-1.146779954E-2,1.209861040E-2,1.822853088E-2
3.435248800E0,4.745576531E-2,1.362562180E-2,1.618289948E-2
3.451148458E0,4.958482087E-2,-5.203962326E-3,-4.082679749E-2
3.467139669E0,-1.985929161E-2,-2.294147015E-2,-3.527545929E-2
3.483069844E0,-3.485907614E-2,-2.023255825E-2,1.044797897E-1
3.499091573E0,-3.295006230E-2,-1.034688950E-2,1.291036606E-1
3.515052266E0,-2.553226054E-2,2.105146646E-2,-2.104320526E-1
3.531043477E0,6.194467098E-2,2.513146400E-2,3.383922577E-1
3.546973653E0,9.205800295E-2,-1.275527477E-2,7.986354828E-2
3.562934346E0,6.185433269E-2,-3.482425213E-2,-3.797893524E-1
3.578864522E0,-1.665846258E-2,-4.738324881E-2,-2.993583679E-3
3.594855733E0,-1.649335027E-4,-6.312084198E-2,2.659482956E-1
3.610816426E0,5.288424343E-2,3.321343660E-2,7.922935486E-2
3.626838155E0,2.817356586E-2,1.106782556E-1,-4.784393311E-2
3.642798848E0,-4.217791557E-2,1.063072085E-1,-6.890296936E-3
3.658790059E0,-2.414346859E-2,5.254757404E-2,-2.306556702E-2
3.674750753E0,-2.205167711E-2,-7.073998451E-3,4.469966888E-2
3.690711446E0,9.887851775E-3,-5.411571264E-2,1.410207748E-1
