"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.661446200E-2,6.997090578E-2,6.264030933E-3,1.832180023E-1
5.254463800E-2,1.707453430E-1,6.022466719E-2,1.420536041E-1
6.856636600E-2,1.603529155E-1,9.273897111E-2,1.632776260E-1
8.452706000E-2,4.638785496E-2,1.000672281E-1,1.128158569E-1
1.005182710E-1,-3.743682429E-2,1.088339686E-1,4.799365997E-2
1.164789640E-1,-5.123095959E-2,8.843334764E-2,5.507659912E-2
1.324701750E-1,-2.432942577E-2,7.396882027E-2,5.986309052E-2
1.484308680E-1,1.259337552E-2,4.399653897E-2,3.355884552E-2
1.643915620E-1,4.993738234E-2,1.191366278E-2,-2.629375458E-2
1.803827730E-1,9.089947678E-3,-6.887608021E-2,4.816055298E-3
1.963434660E-1,-2.276922204E-2,-9.110005200E-2,4.549694061E-2
2.123346770E-1,-2.813580073E-2,-8.975408971E-2,9.655952454E-3
2.282953700E-1,-9.121538606E-4,-6.800406426E-2,1.342000961E-1
2.442865810E-1,4.610566422E-2,3.124112450E-2,6.961631775E-2
2.602777920E-1,3.633626550E-2,5.999632925E-2,-9.802818298E-2
2.762079680E-1,-2.617510781E-2,6.274147332E-2,1.245403290E-1
2.921686610E-1,-2.206508815E-2,7.278937846E-4,1.173563004E-1
3.081293550E-1,4.602786619E-3,-2.622789517E-2,-6.700515747E-2
3.241205660E-1,3.214265406E-2,-2.327725105E-2,-1.194477081E-2
3.401117770E-1,2.809153311E-2,-1.259073243E-2,1.317052841E-1
3.561029870E-1,5.492804572E-2,4.224435613E-2,-3.589534760E-2
3.720941980E-1,3.163814545E-2,5.628936738E-2,6.465721130E-2
3.880854090E-1,3.420810401E-2,6.099186838E-2,2.155780792E-2
4.040766200E-1,3.852155805E-2,5.618335307E-2,-9.570121765E-3
4.200678310E-1,5.229590461E-2,3.980596364E-2,2.394771576E-2
4.360895600E-1,3.212635219E-2,1.697429642E-2,-6.703281403E-2
4.520502530E-1,3.444758803E-2,-3.081197385E-3,6.704139709E-2
4.680109460E-1,3.896724433E-2,-1.548774727E-2,-5.985164642E-2
4.839716400E-1,2.646633796E-2,-2.521388605E-2,8.858966827E-2
4.999323330E-1,1.647907123E-2,-2.559636347E-2,-4.783630371E-3
5.159540620E-1,-1.026599109E-2,-1.599963568E-2,3.352355957E-2
5.319147550E-1,-1.714472659E-2,1.799184829E-3,1.364755630E-1
5.478754480E-1,9.790807962E-5,-3.790220246E-3,7.183170319E-2
5.638666590E-1,3.529939055E-2,-6.459094584E-3,1.412649155E-1
5.797663180E-1,1.086183637E-2,-1.316031720E-2,-4.787445068E-2
5.957880460E-1,-2.695871517E-4,-3.589510545E-2,5.747604370E-2
