"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.786406900E-2,-3.057360649E-2,-1.316511631E-2,6.356048584E-2
5.385528000E-2,-4.147204757E-2,-4.094690084E-2,1.090497971E-1
6.981597300E-2,-8.491349220E-2,-3.760474920E-2,1.044721603E-1
8.580718400E-2,-1.851108670E-2,-2.291333675E-2,7.792758942E-2
1.017678770E-1,-2.278709412E-2,-2.530610561E-2,1.641292572E-1
1.177896060E-1,-3.338304162E-2,5.621343851E-3,1.692161560E-1
1.337808170E-1,-2.565732598E-2,-4.229390621E-2,2.266426086E-1
1.497720280E-1,-2.825954556E-2,4.361331463E-3,3.243350983E-2
1.657632390E-1,-4.037383199E-2,-2.061948180E-2,1.094169617E-1
1.817239320E-1,-2.132925391E-2,4.729667306E-2,5.461025238E-2
1.976846260E-1,-4.597637057E-2,4.528152943E-2,5.572795868E-2
2.136453190E-1,8.445709944E-3,8.290952444E-2,2.993011475E-2
2.296060120E-1,7.126748562E-2,6.023362279E-2,-1.495037079E-1
2.455667060E-1,3.243973851E-2,4.509350657E-2,-9.884452820E-2
2.614968810E-1,8.013099432E-3,8.533149958E-2,-1.174936295E-1
2.775186100E-1,-1.104980707E-2,3.375422955E-2,1.204681396E-2
2.935098210E-1,-8.490929008E-2,-1.637262106E-2,4.397201538E-2
3.094705140E-1,-4.605865479E-2,-5.301719904E-2,2.402124405E-1
3.254312080E-1,-1.187684238E-1,-1.796948910E-2,2.112894058E-1
3.414224190E-1,-6.969901919E-2,-5.309167504E-2,7.474231720E-2
3.573831120E-1,-8.676719666E-2,-4.175388813E-2,1.536703110E-1
3.733132880E-1,4.390203953E-2,-4.579505324E-2,-7.145214081E-2
3.893350160E-1,6.373488903E-2,-3.359150887E-2,5.775928497E-2
4.053262270E-1,2.659183741E-2,-6.428980827E-2,-4.755687714E-2
4.212564030E-1,-1.672562957E-2,-6.946039200E-2,9.610176086E-2
4.373086490E-1,-8.189800382E-2,-4.415166378E-2,1.369190216E-1
4.533303770E-1,-9.235107899E-2,-3.235778213E-2,1.275053024E-1
4.693215880E-1,-4.362949729E-2,-2.545216680E-2,8.703517914E-2
4.853127990E-1,1.633977890E-2,7.712900639E-3,-9.490966797E-2
5.012734930E-1,3.149384260E-2,2.263596654E-2,-8.806228638E-3
5.172341860E-1,6.774973869E-2,3.315860033E-2,-1.309356689E-1
5.331948790E-1,7.031035423E-2,-1.808944345E-2,-3.023910522E-2
5.491555730E-1,6.631034613E-2,3.412365913E-3,5.802154541E-3
5.651162660E-1,7.432013750E-3,-3.194907308E-2,-5.872821808E-2
5.811379950E-1,6.717860699E-3,-9.744504094E-2,1.280279160E-1
5.970681700E-1,-2.132058144E-2,-1.252774596E-1,1.035690308E-3
6.130288640E-1,-9.316256642E-2,-7.568520308E-2,1.204900742E-1
6.290505920E-1,2.823731303E-2,-6.173476577E-2,1.034402847E-1
6.450112860E-1,-1.875221729E-2,-3.785702586E-2,1.078958511E-1
6.609719790E-1,6.611198187E-2,-5.127936602E-3,1.339359283E-1
6.769631900E-1,4.280221462E-2,-3.675937653E-3,9.541320801E-2
6.929544010E-1,7.942289114E-2,-7.451117039E-3,-1.473426819E-2
7.089150940E-1,4.734265804E-2,-8.884638548E-3,-2.668952942E-2
7.248757880E-1,-6.383717060E-3,3.675532341E-2,-1.476478577E-2
7.408975160E-1,-7.677847147E-2,-3.224501014E-2,1.761436462E-3
7.568582100E-1,1.111766696E-2,3.896379471E-2,-2.493381500E-2
7.728189030E-1,-4.757502675E-2,6.949353218E-2,5.725860596E-3
7.888101140E-1,1.028597355E-3,7.069468498E-2,3.169918060E-2
8.047708070E-1,-5.486994982E-2,2.005371451E-2,8.178997040E-2
8.207315010E-1,-5.359616876E-2,-4.982155561E-2,7.236099243E-2
8.366921940E-1,-2.760168910E-2,-3.004348278E-2,-2.318382263E-2
8.526528870E-1,-1.248656809E-1,6.396323442E-3,1.043701172E-2
8.686135810E-1,-4.406934977E-2,6.500855088E-2,4.150295258E-2
8.846047920E-1,-5.828854442E-2,1.217517555E-1,1.538047791E-1
9.005960020E-1,-3.245145082E-2,1.090362966E-1,4.590225220E-2
9.165566960E-1,-8.415669203E-3,5.384206772E-2,-2.061843872E-3
9.325173890E-1,4.627704620E-4,3.476750851E-2,-1.073465347E-1
9.485086000E-1,4.392385483E-3,2.403438091E-3,-7.620620728E-2
9.644692940E-1,-4.010796547E-3,3.533741832E-2,-2.115821838E-2
9.804299870E-1,-1.371312141E-2,1.203358173E-3,2.805709839E-3
9.963906800E-1,3.089895844E-2,4.635992646E-2,1.225023270E-1
1.012351374E0,5.339932442E-2,9.503471851E-2,1.956081390E-2
1.028312067E0,-1.512309909E-2,8.895647526E-2,2.673912048E-2
1.044303278E0,-2.900168300E-2,5.490604043E-2,1.223735809E-1
1.060325006E0,-1.886186004E-2,2.954310179E-2,9.833145142E-2
1.076285700E0,1.554843783E-2,6.334725022E-2,5.046272278E-2
1.092215876E0,9.855210781E-3,1.067445278E-1,-6.425189972E-2
1.108207086E0,-2.946248651E-2,7.460623980E-2,-7.596588135E-2
1.124198297E0,2.682125568E-2,1.010037661E-1,-4.006385803E-3
1.140128473E0,2.008885145E-3,7.650834322E-2,5.344867706E-2
1.156150202E0,-5.232530832E-2,8.846223354E-2,2.945423126E-2
1.172171930E0,-3.944978118E-2,5.334505439E-2,1.106920242E-1
1.188132624E0,-6.780916452E-2,4.579937458E-2,8.421134949E-2
1.204123835E0,-3.138521314E-2,2.475181222E-2,7.509231567E-3
1.220084528E0,-3.287371993E-2,1.353132725E-2,7.429122925E-3
1.236045221E0,-1.680630445E-2,1.486098766E-2,-6.446647644E-2
1.252005915E0,3.580033779E-2,9.138795733E-2,4.885673523E-3
1.267966608E0,-8.200249076E-2,8.609145880E-2,2.635478973E-2
1.283927301E0,-6.771647930E-2,6.903281808E-2,1.341896057E-1
1.299857477E0,-6.353968382E-2,4.678395391E-2,7.219886780E-2
1.315879206E0,-2.828055620E-2,2.366587520E-2,-1.609802246E-2
1.331900934E0,3.065803647E-2,4.983100295E-2,-3.041172028E-2
1.347892145E0,6.424301863E-2,1.078935862E-1,-6.395816803E-2
1.363852838E0,7.196101546E-2,1.137071550E-1,-1.166543961E-1
1.379813532E0,3.291401267E-2,1.158359647E-1,1.030921936E-2
1.395804743E0,5.745634437E-2,8.735927939E-2,-1.104068756E-2
1.411795954E0,2.151989937E-2,6.382307410E-2,-2.044868469E-2
1.427756647E0,-7.841563225E-2,1.492896676E-2,1.567935944E-1
1.443747858E0,6.786078215E-3,5.390685797E-2,1.568260193E-1
1.459769586E0,-4.068854451E-2,1.500536203E-1,1.855468750E-1
1.475699762E0,-2.024689317E-2,1.238015890E-1,7.554340363E-2
1.491660456E0,-8.711814880E-4,1.155556738E-1,1.569910049E-1
1.507651667E0,1.066824794E-2,1.085858643E-1,5.161094666E-2
1.523642877E0,-2.079913020E-2,9.540718794E-2,1.801872253E-2
1.539573053E0,-4.587709904E-3,9.306779504E-2,-3.938770294E-2
1.555594782E0,-3.552517295E-2,6.426009536E-2,-9.427356720E-2
1.571616510E0,7.644474506E-3,5.852270126E-2,-5.096340179E-2
1.587577204E0,4.142135382E-3,8.784887195E-2,-2.920722961E-2
1.603537897E0,3.593435884E-2,1.188880801E-1,1.400566101E-2
1.619559626E0,-2.801784873E-2,1.269983351E-1,1.647663116E-2
1.635520319E0,-2.977418900E-2,8.731880784E-2,1.424694061E-2
